name,count
desserts,3
dish,2
yummy,2
starter,4
worth,3
street,2
dessert,2
tacos,18
leave,3
small,7
pork,2
lovely,2
opted,3
find,2
full,3
dry,4
great,9
weird,3
fantastic,2
love,3
brought,2
2 sets,2
main event,2
lime,2
visit,3
recommend,4
type,2
door,4
started,2
excellent,3
£6,4
friendly,3
share,2
impressed,2
huge,3
end,3
range,2
amazing,5
edinburgh,5
spot,2
wrong,3
birthday,2
salsa,4
fish taco,6
excited,3
types,2
things,2
order,2
mexican,3
black bean dip,2
existence,2
1,2
ll,4
avocado,3
byo,2
main,3
good,8
food,12
break,3
4 tacos,2
bank,2
2 tacos,2
times,2
didn,2
tortilla chips,2
meal,2
takeaway,2
fish,6
prawn,2
expect,4
special,4
space,2
pairs,3
waiter,2
place,14
arrived,2
guac,3
feel,3
taco,4
veggie,2
jerk chicken,3
£2,2
delicious,4
wasn,2
quality,3
size,3
guess,2
service,4
needed,3
bits,2
kind,2
yum,4
friend,2
tasted,2
turned,2
sat,3
thought,3
cosy,2
paid,2
pair,3
future,2
don,7
hungry,2
mex,2
atmosphere,2
selection,3
bring,2
chicken,5
fine,2
enjoyed,2
menu,4
starters,4
rice,2
hit,2
churros,2
chips,5
ended,2
bad,2
textures,2
set,2
terms,2
portion size,2
fish tacos,5
review,2
superb,2
won,2
restaurant,2
prawn tacos,2
bodega,14
table,6
expensive,2
beef,4
due,2
tiny,4
beer,2
expected,3
life,2
ages,2
black beans,3
paying,3
choices,2
tasty,9
ve,7
evening,2
decor,3
make,3
fill,2
mexican food,2
hand,2
delight,2
person,2
bottle,2
corn chips,2
realised,2
number,2
guacamole,11
tenner,2
recent years,2
big,3
couple,2
fridge,2
bit,9
disappointed,2
night,3
served,2
back,10
home,3
server,2
small space,2
christmas,2
booking,3
side,3
dinner,4
beans,2
fresh,5
book ahead,2
rushed,2
coconut,2
long,6
lot,5
spicy,3
offer,5
los cardos,2
heat,2
eat,2
spice,3
made,4
flavour,2
places,3
byob,14
£20,2
ordered,5
taste,5
£11,2
nice,3
favourite,3
felt,2
polite,2
priced,2
sides,5
booked,3
pulled pork,4
time,8
ceviche,2
wee bit,2
