name,count
catch,3
milk,2
overpriced,2
eggs benedict,2
finally,2
meadows,8
sitting,4
deli,5
choice,2
great spot,2
tea,4
bacon,3
past,2
odd,2
drinks,2
cheeses,7
sun,3
succumb,2
full,2
lovely place,2
slow,2
great,6
experience,3
queue,2
products,4
pick,2
makes,2
love,2
put,2
meats,3
oils,2
type,2
door,2
thing,2
great place,3
work,3
friendly,4
daily basis,2
marchmont,3
give,2
varied,2
sit,9
provide,2
amazing,3
edinburgh,2
sandwich,4
wrong,2
produce,2
counter,3
breads,2
order,6
years,2
whilst,3
cold,4
choose,3
coffee,10
good,10
food,9
front,2
day,5
meal,2
victor hugo,11
expect,2
open,2
olive oils,2
mmm,2
wanted,2
continental deli,2
organic,2
times,4
place,9
cheese,6
feel,2
delicious,6
wasn,2
quality,2
guess,2
service,8
girls,2
friend,3
lot,2
fresh bread,2
buy,4
breakfast,3
supper club,2
sandwiches,2
price,2
cosy,2
don,8
fact,4
shop,8
cheap,2
bring,2
corner,2
fine,4
staff,7
busy,2
hadn,2
pretty,2
seating inside,2
means,4
2,2
ended,3
deli items,2
stuff,3
grab,2
inside,3
quiche,2
lots,2
review,2
bought,5
customer service,2
great selection,2
pity,2
cakes,5
pop,3
walk,2
expensive,2
lovely,2
finished,2
prices,2
air,2
ve,8
portobello,2
pay,3
make,6
week,2
sell,2
booths,2
lunch,4
summer,3
seats,2
couple,3
possibly,2
bit,4
unique,2
served,2
seating,3
people,2
back,4
nice coffee,2
home,5
eating,2
dinner,4
road,2
weather,2
deli counter,2
area,2
aren,2
cured meats,2
head,2
eat,3
made,2
places,2
moved,2
tasty,3
chat,2
cafe,4
generally,2
nice,6
star,4
sandwich fillings,4
time,10
