name,count
friendly,2
dessert,4
royal mile,3
haggis,2
spent,2
enjoyed,2
mussels,2
wait,2
great,2
glass,3
excellent,2
starter,3
whisky,5
whiskey,2
sample,2
lamb,2
end,3
edinburgh,2
main,3
good place,2
coffee,3
good,5
food,9
lunch,2
day,4
bread,2
didn,3
reasonable,2
meal,6
expect,2
scotch whisky experience,3
pleasant,2
place,2
waitress,2
cheese,2
delicious,3
service,5
top,3
part,2
amber restaurant,4
whisky experience,3
loved,2
showed,2
scotland,4
drinks,2
plenty,2
don,2
staff,2
pretty,2
whiskies,2
restaurant,5
neeps,2
tour,5
prices,2
attentive,2
tattoo,2
bottles,2
surprised,2
bit,3
helpful,2
edinburgh castle,4
back,3
dinner,3
amber,5
impressed,2
start,2
lot,2
expected,2
eat,3
ordered,2
taste,3
tasty,3
interested,2
nice,3
reservation,2
booked,2
time,7
