name,count
fish & chips,2
worth,10
leek,4
haggis,17
enjoy,2
bacon,10
street,3
food arrived,2
disappoint,2
pancakes,8
fun,8
dry,3
plates,2
fantastic,4
brought,4
music,3
recommend,8
type,4
glass,2
warm,7
£8,4
excellent,4
£6,2
hold,2
95,4
couldn,8
room,2
give,9
veggies,2
end,2
song,2
amazing,12
place,41
funny,2
wrong,5
types,8
order,5
wine,2
fit,2
writing,2
chatty,2
split,2
absolutely delicious,2
coffee,6
tourist,4
combination,3
break,2
bread,2
meat,3
potatoes,4
filling,8
side,6
classic comfort food,2
mashed potatoes,4
courgette,2
revenge,2
returning,2
wanted,8
ate,4
days,4
isn,4
caught,2
veggie,3
wash,2
delicious,17
wasn,9
thick,3
service,24
top,8
needed,3
serve,6
friend,8
brilliant,2
flavorful,2
mint,3
recommended,3
gravy,23
plenty,4
mashes,5
opted,5
don,21
entertaining,2
comfort food,14
enjoyed,5
busy,3
menu,21
chipotle,3
personality,2
plate,4
mushroom wellington,2
stop,3
bad,5
steak,7
decided,2
lots,2
mum,24
indecisive,2
kitchen,3
fault,2
asked,3
beef,5
beer,2
basil,2
lovely,7
life,3
families,2
mushroom,2
chill,3
dumplings,2
things,2
make,15
patient,2
fuss,3
hand,2
delight,2
garlic,5
burgers,5
hearty,4
mother,3
left,7
caramelised onion gravy,4
photo,2
easy,2
gave,3
hearty food,3
night,5
people,10
ve eaten,2
pancake stack,3
diner,5
dinner,5
sunday morning,2
call,2
happy,7
head,5
offer,5
portions,7
inside,3
delicious gravy,2
classic,2
tea,2
trip,2
highly recommended,2
topped,4
tin,2
venison,5
picture,2
felt,2
weekend,2
assume,2
time,20
reviewers,3
focus,2
long time,2
yummy,6
recipe,2
choice,8
cook,2
cool,2
friendly staff,4
leave,3
item,2
pork,5
comforting,5
run,3
drinks,3
shared,4
chocolate tart,2
water,2
slow,3
groups,2
wait,9
crumbles,2
healthy,2
weird,2
love,21
flavors,2
visit,8
creamy,2
great sausages,2
chocolate,2
effort,2
great place,3
reviews,2
soup,3
heart,4
awesome,5
1,3
sunday,3
edinburgh,20
spot,6
mac,2
man,2
varieties,3
20 minutes,2
years,2
ended,4
cold,5
interesting,2
hot,2
main,2
lunch,10
half,4
discuss,2
didn,10
veggie sausages,3
happen,3
space,2
care,3
great comfort food,7
waiter,4
honest,2
thing,6
yum,6
bit slow,3
childhood,2
cheese,9
long,2
open,2
size,5
city,3
bite,3
2,4
speaking,2
brown gravy,3
boyfriend,3
10,2
lunches,2
tastes,2
breakfast,13
note,3
price,2
hungry,7
salt,2
walking,2
cheap,6
corner,2
cool music,2
welcomed,2
pumpkin,3
milkshakes,2
reading,2
morning,2
husband,2
affordable,3
sage pie,2
seat,2
fails,2
review,5
simple menu,2
3,3
bad experience,2
chorizo,3
breakfasts,2
steak pie,4
wake,2
doesn,6
great service,5
middle,2
good,31
worry,2
pay,2
check,5
macaroni,3
week,3
finish,2
daily specials,3
favorites,2
monster mash,7
summer,2
money,6
flavor,4
hint,2
visiting edinburgh,2
pile,2
4,5
world,2
disappointed,5
server,3
served,8
fiver,2
divine,2
mood,2
wagyu burger,2
single time,2
favorite,3
veggie sausage,4
red onion,2
fast,2
area,2
start,2
stars,3
gravy options,2
reasonable prices,4
menu offers,2
favorite places,2
taste,4
general,2
tasty,16
fill,2
5,4
60s,2
peas,2
homely,2
venison pie,3
wife,3
mash,53
alright,2
forget,2
garlic mash,3
dish,3
eggs benedict,8
original monster mash,2
skip,2
fish pie,3
sitting,2
fan,2
decide,3
enjoyable,2
list,2
large,6
small,4
past,2
burger,6
macaroni cheese,4
full,5
hours,2
experience,2
milkshake,6
pick,4
options,8
family,4
roast chicken,2
cheese mash,3
eye,2
door,3
excuse,2
stick,2
glad,4
town,2
greeted,2
share,2
states,5
huge,4
rude,2
advice,3
frills,4
hell,2
dinner time,2
mash potatoes,2
fool,2
evening,2
return,7
food,46
found,5
onion gravy,4
mums,35
fish,7
hard,5
idea,6
expect,5
alcohol,2
pleasant,2
quick,4
reason,4
reasonable price,3
imagine,2
put,3
american,2
laugh loads,2
feel,11
bland,2
miss,2
wonderful,2
luckily,3
part,3
kind,4
coke floats,2
bit steep,2
scotland,3
eggs,3
classic breakfast,2
plan,2
puddings,2
clean,2
full fry,2
find,7
pretty,3
shepherd,3
hit,3
set,2
advertised,3
flavours,2
chose,4
wow,3
won,6
meal,5
restaurant,5
load,2
simple,10
gravies,2
boy,4
understand,2
ginger,2
prices,4
solid,3
straight,2
bill,7
fruit salads,2
delicious comfort food,3
bangers,29
decor,4
banter,2
priced,3
tables,2
cut,2
cup,2
treacle,2
location,2
big,4
couple,6
bit,10
maple syrup,3
absolutely,2
back,24
delivered,3
retro,2
good selection,2
eating,4
range,4
mums classic,2
servers,3
hollandaise sauce,2
impressed,2
homemade,2
forward,3
relaxed,3
portion size,2
uk,4
ordered,12
chat,2
cafe,3
apple crumble,2
£10,2
nice,11
walked,3
cooked,2
fresh,3
good food,7
server recommended,2
desserts,3
send,2
fun place,2
friendly,17
putting,2
ale pie,6
lovely dry wit waitress,2
beaten path,2
black pudding,2
sausage,16
visiting scotland,2
cozy,3
great,16
arrive,2
30,2
suggests,2
makes,4
win,2
sort,6
popped,2
impress,2
tap,3
lamb,4
tomato,4
venison stew,2
bangers & mash,2
filling food,2
perfect,2
ll,12
nostalgia,2
choose,13
holiday,2
streaky bacon,2
mention,2
day,19
accompanied,3
recommendations,2
times,8
pudding,2
museum,2
waitress,9
quality,2
festival,2
stomach,3
lot,6
date pudding,2
haven,2
remember,3
loved,4
boring,2
visited,6
apple mash,2
carrots,3
comfortable,3
spicy,3
apparently,2
complete,2
dishes,2
mix,2
class,2
face,3
looked,4
fact,5
atmosphere,5
chicken,4
staff,22
based,2
winner,4
beat,2
good prices,3
perfection,2
chips,14
stuff,2
packed,2
closer,3
great food,5
super friendly,2
quick service,2
hits,3
wall,2
walk,3
laugh,2
table,4
decent,3
treat,2
pie,12
sausages,28
welcoming,2
choices,2
ve,19
surface,2
partner,2
friendly service,3
cream,2
broccoli,2
warming,2
thought,4
wet,2
pies,9
helpful,5
onion,3
works,2
home,13
flaky,2
tongue,2
2 days,2
vegetables,2
wouldn,3
coke,3
eat,17
made,12
places,2
lived,4
goodness,3
variety,4
book,2
ice cream,5
kinds,2
chance,3
friends,8
