name,count
cafe grande,8
list,2
tea,2
bacon,2
past,2
drinks,2
enjoyed,2
eggs benedict,3
great,5
£7,2
salad,3
choice,2
end,2
thing,3
sitting,2
dinner,4
amazing,2
edinburgh,3
spot,2
safe bet,2
fit,2
ll,2
wouldn,3
good,4
food,5
lunch,5
didn,4
delicious,2
hard,3
space,2
drink,2
bit meh,2
pleasant,2
times,5
keen,2
place,6
waitress,2
service,2
friend,2
mind,2
cheesecake,4
eggs,2
don,4
average,2
fact,3
find,3
staff,3
busy,4
hadn,2
menu,5
feels,2
chips,2
bad,4
bars,2
result,2
bruntsfield,6
cafes,3
disappointment,2
cakes,2
walk,2
high hopes,2
prices,2
brunch,2
paying,2
weren,2
ve,5
make,2
evening menu,2
costs,2
bit,7
tables,4
shout,2
couple,2
night,2
people,2
back,2
paninis,2
range,3
area,4
lot,3
eat,2
inside,2
cake,2
ordered,3
tasty,3
cafe,4
nice,4
felt,2
friends,3
glass,2
time,4
