name,count
small,3
loads,2
france,2
town,3
friendly,2
soup,2
almond croissants,2
amazing,3
croissant,3
bakery,3
breads,2
find,3
coffee,3
good,4
day,3
bread,5
delicious croissants,2
thing,2
place,6
newington,3
delicious,2
wasn,2
friend,2
part,3
kind,2
tasted,2
mind,2
don,3
staff,2
french bakery,2
stop,2
bought,2
wee boulangerie,5
sold,2
sweet,2
lovely,3
plain,2
shame,2
buy bread,3
week,2
croissants,4
left,2
bit,2
didn,4
highly recommend,2
back,4
home,2
pastries,3
area,2
offer,2
walked,2
time,3
