name,count
salmon roulade,2
friendly,2
presented,3
small,3
stockbridge,2
eye,2
visit,2
light,2
order,2
chatty,2
main,2
good,2
food,2
moist,2
occasions,2
crunchy,2
courses,2
meal,2
purslane,5
ice cream,2
7,2
thing,2
place,3
delicious,2
service,2
amuse bouché,2
crispy chicken,2
quantity,2
chicken,2
enjoyed,3
menu,3
plate,2
sauce vierge,2
asian noodle salad,2
pan fried hake,3
chewy,2
sole,2
restaurant,3
bit,3
crisp,2
didn,3
table,2
made,2
taste,2
detail,2
nice,2
cooked,2
time,3
fresh,2
