name,count
veggie choices,2
good food,2
yummy,2
melon,3
friendly,6
cook,2
friendly staff,2
small,7
accommodating,2
chef,2
cosy,4
enjoyed,2
told,2
cozy,3
great,2
turkish,3
stomachs,2
grilled lamb,2
fantastic,2
love,4
family,2
meats,2
&,2
visit,5
recommend,7
wanting,2
warm,3
£8,2
excellent,2
worth,3
beautiful,2
share,2
end,2
thing,3
feta,3
place,12
kebabs,3
lamb,5
wrong,2
meze,2
order,4
cute,2
feta salad,2
ll,4
choose,2
wouldn,2
good,15
tucked,2
food,22
lunch,2
meat,7
didn,3
reasonable,2
meal,5
turkish food,6
ambiance,2
favourite restaurant,2
wanted,3
couldn,4
times,3
yum,2
view,2
waitress,2
newington,4
simply,2
fancy,2
downside,2
wasn,2
owner,6
quality,4
long,2
service,5
wonderful,3
borek,2
friend,3
forward,2
seated,2
flavorful,2
mine,2
mixed grill,2
dishes,3
recommended,2
regular,2
don,5
looked,2
atmosphere,2
mains,4
bring,3
planning,2
chicken,4
staff,8
menu,5
weekends,3
starters,7
won,2
rice,6
loved,2
flavour,2
relish,2
decided,3
close,3
meatballs,2
feta cheese,2
visited,2
kitchen,2
restaurant,7
amazing,2
hummus,8
hanedans,2
simple,2
walk,2
table,3
mezze,2
tiny,2
lovely,6
humus,2
life,2
lived,2
priced,5
prices,2
attentive,3
main,2
tasty,5
ve,9
absolutely delicious,4
evening,4
make,6
delicious,4
sat,2
succulent,2
finish,2
moussaka,7
hand,2
arrived,2
spices,2
juicy,3
chicken shish,2
add,2
bit,2
disappointed,2
brought,2
night,2
served,2
soft,2
edinburgh,6
people,3
back,8
eating,2
host,2
dinner,3
stumble,2
fast,2
start,4
lot,3
hanedan,11
dips,2
eat,3
made,2
portions,2
problem,2
ordered,5
lamb cutlets,2
variety,2
5,3
felt,2
reservation,2
friends,3
cooked,2
time,5
fresh,2
hidden gem,2
