name,count
concept,2
personally,4
hate,2
friendly,5
sitting,2
dessert,4
royal terrace gardens,2
small,3
enjoy,2
excited,2
black pudding,2
opted,4
find,3
full,2
wait,2
great,6
experience,4
makes,2
fantastic,2
love,3
thankfully,3
wanted,3
music,2
door,2
started,2
stick,2
excellent,3
starter,6
room,2
work,4
worth,4
dining experience,2
heard,3
salty,2
garden,5
record player,4
edinburgh,5
7 courses,2
sit,5
order,3
hake,3
fish dish,2
ll,2
amazing,4
elbow room,2
main,4
good,5
food,15
lunch,3
front,2
day,3
accommodate,2
didn,5
courses,7
meal,8
hard,2
idea,4
saturday,2
leave,2
shown,2
space,3
gardener,3
communal tables,2
walnuts,2
couldn,2
conversation,2
place,11
isn,2
cheese,4
feel,2
number,2
pretty,3
delicious,4
wasn,3
service,6
listed,2
set menu,2
special occasion,2
5 stars,2
luckily,2
front door,2
jump,2
bother,2
matter,2
mind,2
sat,3
dishes,3
efficient,2
dietary requirements,2
price,2
plenty,2
tasting menu,3
don,2
face,2
wine,2
fact,2
selection,2
laid back,2
corner,2
enjoyed,2
staff,8
menu,8
starters,2
local,2
pumpkin,2
separate tables,2
loved,5
watch,2
lucky,2
rest,2
5 minutes,2
set,2
won,2
diners,5
kitchen,5
restaurant,5
london road,3
asked,2
portion sizes,2
table,4
speak,2
quickly,2
lovely,3
finished,2
brunch,2
attentive,2
case,2
£25,2
choices,2
ve,2
middle,2
sits,2
make,3
cream,2
flavours,2
picky,2
gardeners cottage,3
thought,2
bottle,2
kale,2
money,2
seats,2
5 courses,2
tables,5
couple,4
bit,4
hollandaise,2
chairs,4
background,2
night,3
served,5
seating,2
people,4
arrived,3
back,7
chefs,2
beautifully presented,2
side,3
dinner,7
impressed,2
start,3
lot,2
offer,3
relaxed,2
recommend,2
cottage,5
line,2
eat,5
made,4
flavour,2
inside,2
minutes,2
taste,4
tasty,4
ingredients,3
prepared,2
la carte menu,2
reservation,2
chocolate,2
meals,2
snagged,2
wife,2
walked,2
gardens,2
time,6
fresh,4
