name,count
worth,2
haggis,2
enjoy,3
chef,3
lights,2
met,2
recommend,2
glass,2
warm,4
excellent,2
bartender,2
give,4
small side,2
end,2
thing,2
amazing,2
description,2
wrong,4
bit slow,2
order,5
wine,3
meat,2
meal,5
monteith,2
wanted,4
isn,2
delicious,3
wasn,4
thick,2
service,7
top,4
recommended,5
don,5
enjoyed,2
busy,4
menu,8
plate,2
bar,8
steak,5
decided,4
lots,3
drawn,2
asked,2
expected,2
lovely,4
broth,2
experience,4
things,2
make,7
left,3
bit,5
easy,2
gave,2
steps,2
night,6
dinner,8
delighted,3
gin,2
happy,2
back,6
portions,4
inside,3
trip,4
time,10
mile,2
yummy,2
choice,3
cool,2
leave,2
voucher,2
cosy,3
drinks,7
filled,2
mussels,3
fairy lights,2
love,2
monteiths,9
visit,5
entrance,6
sharing,2
making,2
edinburgh,10
cocktail,3
branches,2
cute,2
ended,2
main,5
tucked,2
lunch,4
didn,3
year,2
couldn,2
turn,2
place,10
boyfriend,2
tasted,2
medium,2
note,2
interior,2
quantity,2
walking,2
show,2
mains,2
husband,3
cocktails,7
review,2
3,3
excellent service,2
offered,2
photos,2
attentive,2
hidden,2
sauce,2
evening,2
check,2
week,4
bottle,5
rest,3
furniture,2
server,3
served,2
lobster,2
side,3
ladies,2
area,3
hey,2
start,3
stars,2
romantic,2
taste,7
moved,2
tasty,2
decorated,2
booked,2
wife,3
sitting,2
large,2
small,7
eye,2
beautiful,5
huge,2
wouldn,2
good,13
food,17
easily,2
courses,5
fairy,2
fish,2
idea,2
reason,2
put,3
feel,2
miss,3
special occasion,2
luckily,2
part,2
stairs,3
scotland,2
salmon,2
find,8
starters,2
restaurants,2
close,2
restaurant,13
point,3
expensive,2
arrived,2
dark,2
quirky,2
couple,3
reach,2
long,2
forward,2
ordered,9
doesn,3
cocktail list,2
chat,3
nice,8
cooked,2
fresh,2
desserts,3
ambience,2
friendly,4
waiters,2
dessert,2
royal mile,11
cozy,2
great,2
duck,2
doubt,2
started,3
starter,3
salad,2
lamb,2
located,2
hake,2
knowledgable,2
perfect,3
ll,3
day,5
lunch menu,2
ambiance,2
cured,2
times,3
quality,4
open table,2
lot,2
visited,4
dishes,3
refreshing,2
fact,3
selection,2
bring,2
chicken,2
pleased,2
staff,5
hadn,2
perfection,2
smoked salmon,2
chips,4
packed,2
table,7
treat,2
ve,6
party,2
half,5
seats,2
helpful,2
rare,2
beef,2
cocktail menu,2
volume,2
eat,3
made,9
places,4
medium rare,2
stay,2
friends,6
