name,count
starter,3
worth,2
haggis,3
street,4
friendly,2
family,2
wanted,2
&,2
visit,3
warm,3
excellent,2
town,2
edinburgh,3
coffee,2
good,3
food,7
didn,2
meal,3
hard,2
year,2
pleasant,2
reason,2
ate,2
couldn,2
place,8
delicious,3
wasn,2
quality,5
service,6
drinks,2
salmon,2
don,2
fact,2
find,2
staff,3
plate,2
stuff,2
steak,2
restaurant,2
sweet,2
ordered,2
lovely,2
left,2
tablet,2
game,2
partridge,2
served,2
back,6
home,2
dinner,2
eaten,3
*,2
stac polly,5
eat,2
tin,2
nice,2
felt,2
dublin street,2
