name,count
excellent,2
friendly,5
returning,3
choice,2
enjoy,2
opted,4
saturday night,2
great,2
experience,2
popped,4
beers,7
town,3
tap,2
ushers,3
pints,2
sample,2
edinburgh,3
end,2
pear tree,5
vibe,2
bartenders,2
group,2
food,7
underground,2
day,2
ales,2
pint,2
recommend,2
fish,2
pretty good,3
pub,2
pubs,2
place,6
feeling,2
tables,2
finding,2
don,2
atmosphere,4
staff,4
knowledge,2
menu,2
chips,3
bar,5
decided,2
sold,2
great selection,3
blind poet,3
point,2
table,2
beer,5
attentive,2
welcoming,2
ve,2
make,2
couple,3
nachos,2
rest,2
night,2
served,2
didn,2
people,2
back,2
usher,2
lagers,3
fringe,2
stand,2
friends,3
eat,2
portions,2
good thing,2
nice,5
warm,2
