name,count
chicken burgers,2
worth,5
bacon,2
vast range,2
music,5
glass,5
£4,2
£5,2
£7,2
£3,4
work,3
chicken burger,3
vodka,8
give,5
end,4
sitting,3
amazing,4
wrong,2
types,4
things,2
order,2
wine,2
meat,2
reasonable,2
forgot,2
wanted,2
ate,2
days,3
moving,2
delicious,4
service,2
girls,2
needed,3
wooden trays,2
serve,2
matter,3
plenty,2
don,6
enjoyed,5
busy,2
menu,6
bar,12
shots,4
decided,5
lots,2
sorts,2
asked,2
beef,3
lovely,4
vegetarian,2
make,5
hang,3
burgers,12
nachos,2
caiprinha,2
beef burger,2
good location,2
mayo,2
possibly,2
50,4
night,12
people,5
stuck,2
happy,2
head,2
offer,11
inside,3
trendy,2
picture,2
time,10
ice,4
environment,2
bartender,2
cool,2
flavoured vodka,2
friendly staff,2
drinks,14
laid back,2
falling,2
satisfy,2
weird,2
love,3
visit,3
making,3
awesome,3
lounge,2
pint,4
edinburgh,9
cocktail,7
spot,3
cold,3
group,4
hot,3
offers,2
half,3
didn,8
year,3
happen,3
space,3
correct,2
shows,2
couldn,4
honest,3
thing,3
place,20
frequent,2
cheese,2
sounds,2
size,2
2,4
friend,4
pre,2
tasted,3
mates,2
bar kohl,25
price,2
flavour,3
cocktails,22
review,3
style,2
pop,2
case,2
pay,3
finish,3
hot dogs,2
rest,3
4,2
read,4
world,3
disappointed,4
served,2
felt,4
start,4
lot,8
pitcher,3
taste,7
tasty,5
valid,2
hmmm,2
thursday,2
fan,2
fab,3
washing,2
list,3
burger,5
opted,3
full,2
reason,2
experience,2
thankfully,2
town,2
share,3
menus,2
occasionally,2
coming,2
overcooked,2
26,2
good,15
food,12
walls,2
presented,2
repeating,2
needless,2
house,2
alcohol,2
put,2
feel,5
miss,3
guess,2
kind,3
coleslaw,5
75,2
find,5
vodkas,2
pretty,4
bars,2
flavours,3
knowing,3
attention,3
great selection,2
snapfax,4
expensive,2
priced,2
prices,3
frozen,2
fun,3
decor,2
person,2
spend,3
tables,3
couple,6
bit,9
highly recommend,2
back,11
falafel,3
shooters,3
rum,2
pitchers,2
range,2
fries,2
called,3
ordered,4
doesn,3
beef burgers,2
nice,2
problems,2
huge range,2
age,2
fresh,2
enjoyable,2
fun place,2
friendly,4
watered,2
waiting,2
great,7
makes,3
lime,2
&,2
fab ice lolly,2
started,2
salad,2
impressed,3
sit,3
50% discount,3
perused,2
bartenders,2
whilst,2
1,2
ll,9
covered,2
day,2
glasses,2
measure,2
times,2
vodka bar,3
quality,2
tomato,3
stars,2
boring,2
looked,4
fact,2
selection,3
chicken,3
staff,6
chips,4
tend,3
laugh,2
falafel burger,3
table,2
sweet potato chips,2
happened,2
good place,3
ve,14
surprisingly,2
tasted pretty good,2
drink,6
lettuce,3
point,2
appeared,2
add,2
chairs,2
works,3
home,2
favourite bars,2
promise,2
coke,2
made,5
places,4
flip,2
jenny,2
star,2
friends,6
portion,2
