name,count
dish,2
friendly,4
bar area,2
bringing,2
friendly staff,3
small,5
round,2
burger,3
drinks,7
find,2
white wine,2
didn,2
brilliant,2
options,2
fantastic,3
love,2
fried chicken,2
put,2
macncheese,2
give,2
visit,4
sort,2
popped,2
ambience,2
beers,4
excellent,3
£5,2
town,4
room,2
worth,2
making,2
tap,2
awesome,2
allowed,2
share,3
heard,2
sit,4
amazing,2
place,18
stand,2
edinburgh,5
hesitate,2
times,4
order,3
wine,2
ended,3
including,2
comfortable,2
cold,2
head back,2
perfect,2
interesting,2
ll,3
window,2
cool,2
wouldn,2
good,9
food,14
lunch,3
day,2
meat,2
found,2
meal,2
hard,3
idea,3
opened,4
space,2
bottled beers,2
pub,2
reason,2
greeted,2
chilli,4
mac,3
conversation,2
arrived,3
waitress,3
cheese,5
feel,3
meet,2
delicious,6
wasn,3
open,3
service,2
needed,2
time,6
friend,3
appreciated,2
kind,2
tasted,3
sat,5
built,2
leave,3
eaten,2
canonmills,2
don,2
hungry,2
lots,4
fact,2
selection,2
set,2
agreed,2
mains,2
corner,2
enjoyed,3
staff,6
busy,2
hadn,2
menu,7
8,2
local,2
watch,2
chips,3
bar,11
whiskies,2
seat,3
decided,2
chilli fries,2
tend,2
tables,4
table,5
personal favourites,2
seasoned,3
understand,2
prices,3
juicy lucy,2
tasty,2
ve,2
ready,2
decor,3
food menu,2
nod,2
bib,2
drink,3
moment,2
totally,2
beer list,2
burgers,4
bottle,2
nachos,4
summer,3
sampled,3
transformation,2
big,3
world,3
bit,3
night,3
served,3
back,5
meaning,2
range,2
area,5
long,3
noticed,2
lot,5
fork,2
head,3
offer,3
great,3
heat,2
eat,4
made,3
fries,2
ordered,3
moved,2
check,2
nice,5
stags head,3
star,2
felt,2
prepared,2
chance,2
priced,2
friends,4
cooked,2
open kitchen,3
stocked bar,2
