name,count
starter,2
whigham,2
opted,2
wines,2
enjoyed,2
mussels,2
great,3
wine cellar,2
music,2
sort,2
sharing,2
glass,3
give,2
sit,2
establishment,2
oysters,2
order,2
wine,6
ll,4
sauce,2
wouldn,2
food,2
front,2
didn,2
fish,3
expect,2
quality,2
7,2
place,6
feel,2
delicious,2
alcoves,2
friend,2
mine,2
nights,2
don,3
seafood,2
mains,2
find,2
hadn,2
menu,4
eat,2
bar,4
husband,2
visiting,3
lots,2
won,2
restaurant,2
charlotte square,2
table,3
lovely,3
whighams,4
ve,3
make,3
thought,2
bottle,2
couple,2
bit,3
disappointed,2
night,2
back,3
pasta,2
happy,2
made,4
nice,3
prepared,2
reservation,2
weekend,2
cooked,2
time,2
