name,count
chinese,5
catch,2
manager,3
dish,3
good food,2
vietnamese,2
enjoying,2
princes street,3
list,2
large,2
pork,2
siu mai,2
find,2
told,2
full,4
chinese restaurants,2
items,2
named,2
love,2
saigon saigon,6
finally,2
recommend,3
share,2
effort,2
hour,3
huge,2
menus,2
hot,2
tasted good,2
place,12
edinburgh,10
spot,3
order,8
saigon,2
good,17
food,24
half,2
didn,4
meal,3
open,2
4pm,2
guess,2
wanted,4
craving,2
ate,2
sticky rice,2
times,2
arrived,2
restaurants,3
waitress,3
fast,4
delicious,5
wasn,3
good chinese food,2
quality,2
city,2
service,12
big,2
sweet,2
hotel,2
part,2
decided,2
spoiled,2
tasted,3
thought,3
dishes,6
early dinner,2
price,4
buffet,5
eaten,2
don,5
dim sum,16
clean,3
cheap,2
bring,2
fine,2
staff,2
waited,3
menu,7
hit,3
asians,3
portions,3
years,2
bad,2
fair,2
chinese food,4
noodles,2
packed,2
3,2
table,4
speak,2
ps,2
friendly,3
taste,2
chinese place,2
bit,2
great,2
prices,2
attentive,2
/,2
suppose,2
ve,7
ready,2
things,2
restaurant,5
finish,2
average,2
makes,2
left,2
flavor,2
tables,2
day,3
location,3
couple,2
world,2
good chinese restaurant,2
served,2
back,5
home,2
biased,2
eating,2
discount,2
dinner,5
stand,2
impressed,2
long,2
spicy,2
eat,2
made,2
places,2
black bean sauce,2
uk,2
ordered,4
lived,2
tasty,4
fill,2
book,2
nice,4
time,9
friends,2
soy sauce,2
fresh,2
