name,count
mackerel,2
worth,8
enjoy,6
tired,2
bacon,2
full meal,2
chef,2
elegant,3
fabulous,2
blue,2
told,4
items,2
fantastic,4
brought,2
recommend,4
glass,5
warm,4
excellent,9
£6,2
£7,2
word,2
room,2
work,2
molasses ice cream,2
give,4
garlic fries,3
end,8
thing,7
amazing,8
disappoint,3
description,2
wrong,3
chilled,2
excellent food,5
order,8
wine,13
london,2
fix,2
absolutely delicious,2
break,3
bread,14
meat,5
potatoes,2
filling,2
reasonable,4
meal,16
whim,2
forgot,3
heavenly,2
grapes,2
wanted,7
ate,6
days,3
isn,2
moving,2
loud,4
downside,2
delicious,22
wasn,9
service,27
top,4
plentiful,2
showed,2
mouth,3
seated,4
street,2
feeling,5
modern,3
mind,2
mine,3
lunchtime,2
recommended,4
don,11
place,28
reserve,2
enjoyed,9
make,8
busy,11
menu,26
appetizer,2
greens,4
steak,5
huge portion,2
decided,5
00,4
freshly baked,2
late lunch,2
chunky healthy lines,5
asked,5
ribeye,2
olive oil,3
é,2
website,3
life,3
mushroom,2
substance,4
things,5
split,2
plates,3
lovely dinner,2
shortly,2
burgers,2
left,6
seasonal,2
photo,2
gave,2
great things,2
unique,2
50,4
night,13
people,3
creative,2
booking,2
dined,2
lacked,2
slightly,4
son,3
happy,6
head,2
offer,3
sea bass,4
flavour,7
inside,2
amazing view,2
awhile,2
check,3
highly recommended,2
tip,3
setting,2
felt,5
time,22
managed,2
manager,4
hold,2
yummy,2
finally,4
cool,6
impressive,3
presented,4
die,3
friendly staff,2
standards,2
quick,4
dip,2
round,3
discover,2
cosy,2
drinks,5
laid back,2
shared,2
satisfy,2
mussels,5
water,2
change,3
wait,4
weird,2
entrees,2
love,9
visit,8
live,3
today,3
great place,6
reviews,3
making,2
heart,3
awesome,2
heard,4
chic,3
dinner,21
1,2
edinburgh,33
beetroot coleslaw,2
spot,8
date,5
man,2
remember,7
ll give,2
noise level,2
pointed,2
years,5
interesting,2
window,11
main,8
views,4
lunch,25
half,3
didn,17
girl,2
living,2
monkfish,3
shows,2
george iv bridge,4
care,4
couldn,4
waiter,6
turn,2
yum,4
massive,2
city,7
modern european cuisine,2
friend,7
perfect choice,2
boyfriend,3
11,2
12,2
19,2
coats,3
apples,2
tasted,3
slap,2
dash,2
sat,5
efficient,5
ideal,3
wanting,2
price,5
knew,2
hungry,3
great views,4
professional,3
walking,3
show,2
mains,7
contemporary,2
slow,2
portions,4
morning,2
husband,5
seat,5
review,2
3,5
affordable,3
patrons,2
chorizo,2
olives,6
rooftops,2
attentive,4
paying,2
accommodating,3
great space,2
middle,2
evening,5
make reservations,2
pay,3
week,5
bottle,3
hubby,2
money,3
rest,9
lovely restaurant,3
venison,2
trè,2
read,4
dark,3
disappointed,3
server,3
served,8
chilli burger,2
favorite,2
side,10
road,2
area,4
start,7
stars,3
rush,2
reasonable prices,3
expect,3
taste,5
describe,2
tasty,9
pillows,2
lamb rump,2
booked,3
wife,5
parmesan,2
dish,4
fan,3
decide,2
fab,2
list,5
past,3
burger,5
casual,3
stood,3
sun,2
scallops,4
full,4
taste buds,2
experience,3
amount,5
family,3
chunky,2
save room,2
6,2
basically,2
glad,3
town,7
hour,5
beautiful,2
share,4
huge,3
poached pear,3
lighting,2
attitude,2
style,3
great service,2
good,36
return,4
food,42
stopped,4
found,7
fish,7
hard,4
finish,5
specials,4
missed,2
pigeon,2
reason,3
put,3
chocolate pot,2
expecting,2
castle,29
feel,7
number,2
valentine,2
special occasion,3
hotel,2
luckily,2
part,2
kind,2
coleslaw,2
juicy,4
venison haunch,2
scotland,3
gnocchi,3
salmon,5
plan,2
eaten,4
windows,6
seafood stew,2
melt,2
fine,3
find,8
starters,4
pretty,3
hip,2
hit,3
restaurants,5
set,2
sea,2
close,4
locals,2
won,4
attention,3
restaurant,34
patty,2
simple,2
sweet,2
expensive,2
chls,2
good sign,2
priced,7
prices,5
leave,2
bill,6
healthy,2
ready,2
cuisine,2
decor,5
9,2
arrived,6
early,2
quirky,3
lively atmosphere,2
questions,2
world,2
tables,7
parents,2
big,2
couple,4
skirt steak,4
bit,12
popular,2
stylish,3
highly recommend,5
back,23
candle,2
great view,4
wine list,5
run,2
remembered,3
lamb meatballs,2
servers,3
selected,2
impressed,4
beautiful location,2
forward,2
skewers,3
hoped,2
line,2
great ambiance,2
yelp reviews,2
fries,2
uk,4
called,3
ordered,15
good friend,2
nice,13
prepared,3
reservation,6
meals,3
required,2
cooked,5
saturday night,2
fresh,4
desserts,2
ambience,4
friendly,17
dessert,11
kir royale,2
odd,2
tempted,2
great atmosphere,3
great,19
30,3
leaving,2
opinion,2
makes,3
app,2
duck,2
chl,3
sort,2
popped,2
started,3
charming,2
starter,3
salad,11
high,3
made,9
lamb,7
varied,2
rhubarb,2
entree,3
sit,3
whilst,3
perfect,8
squid salad,2
covered,2
dad,2
nice lunch,2
mention,3
hands,2
front,5
day,8
delightful,2
lunch menu,4
accompanied,4
special,3
pitta,3
bad,5
chilli,2
times,9
waitress,7
noticed,2
quality,10
tourists,2
lot,6
haven,2
loved,7
bed,5
appealing,2
light,2
visited,2
comfortable,3
pork belly,2
apparently,3
dishes,7
request,3
looked,2
fact,4
atmosphere,4
selection,2
chicken,6
pleased,2
staff,16
hadn,2
lucky,5
perfection,2
chips,4
grab,3
view,17
central location,2
packed,4
great food,3
super friendly,2
taking,2
admit,5
ll,7
gorgeous,3
walk,2
table,22
outsider,31
seasoned,2
treat,3
reservations,2
finished,3
reviewers,2
welcoming,3
ve,24
difficult,2
drink,4
frequently,2
thought,3
point,3
add,3
cheese board,2
kick,2
wining,2
checking,2
immediately,2
side salad,2
helpful,2
chairs,2
edinburgh castle,5
recommendation,2
home,4
pasta,2
beef,2
garlicky fries,2
gluten,2
eat,10
lovely,14
places,6
problem,3
jenny,3
incredible,2
book,6
stay,2
friends,6
