name,count
chain,3
skip,2
send,2
friendly,2
advantage,3
dessert,2
small,2
great,2
makes,2
love,4
visit,2
pizza,7
offers,2
wouldn,2
good,3
food,5
vouchers,2
expect,2
dough balls,2
wanted,2
thing,2
place,5
service,6
recommended,2
price,3
clean,2
staff,5
menu,3
pretty,2
boyfriend,2
decided,2
nutella,2
pizza express,8
restaurant,3
table,2
decent,2
bill,2
ve,2
drink,2
moment,2
ideal,2
people,3
back,2
pasta,2
meal,2
ordered,2
denying,2
branch,3
nice,2
pizzas,3
time,2
fresh,2
