name,count
3am,2
clientele,2
haggis,2
guy,2
burger,3
situated,2
drinks,4
great,2
negociants,8
warm,2
specials board,2
1,2
edinburgh,3
bothered,2
order,3
serving,3
call,2
ll,2
late,2
wouldn,2
food,8
day,2
found,2
yeah,2
place,3
service,2
festival,2
bite,2
2,2
decent place,2
feeling,2
sandwiches,2
eaten,2
fact,3
corner,2
menu,2
weekends,3
bar,6
3,3
won,2
restaurant,3
george square,2
table,2
tasty,2
ve,7
good,2
open,2
make,2
drink,3
burgers,2
nachos,3
tables,3
world,2
night,3
served,2
back,4
beers,2
lot,3
eat,3
£12,2
£10,3
nice,2
friends,3
time,3
