name,count
venue,3
enjoy,2
past,2
malones,11
drinks,9
full,2
hadn,2
irish bar,3
makes,2
love,3
music,3
£3,2
chicken burger,2
times,3
pint,2
edinburgh,6
wrong,2
fat cow,5
years,2
choose,2
wouldn,3
good,4
band,2
day,3
irish pubs,3
didn,3
malone,2
stopped,2
upstairs,4
event,2
banter,3
pub,3
heading,2
thing,3
place,10
cheese,2
feel,2
hey,2
long,2
service,2
guinness,3
top,3
friend,2
mind,2
dancing,2
don,4
fact,2
find,3
staff,6
stop,2
feels,2
bar,8
shots,2
lots,5
toilets,2
space,2
asked,2
slightly,2
offered,2
priced,2
prices,2
middle,2
fun,5
changed,2
ve,5
played,2
decor,2
week,3
booths,4
drink,4
pubs,2
totally,2
thought,2
bit,3
tables,2
tedinburgh,2
night,6
live music,7
people,4
back,4
stage,2
lively,2
aren,2
lot,2
offer,2
inside,2
expect,2
irish,4
friends,6
time,5
