name,count
forget,2
smile,3
friendly,2
choice,2
waiters & waitresses tend,2
friendly staff,2
haggis,2
small,3
bacon,4
steaks,4
burger,3
street,2
voucher,2
drinks,2
great,5
makes,2
options,3
brought,2
visit,3
sausage,3
main,2
steak sandwich,2
beers,2
95,3
salad,2
soup,2
bloody mary,3
complain,2
alright,2
sunday,4
smoke stack,8
edinburgh,5
sandwich,2
prawns,2
order,4
find,2
top,2
cuts,2
chips,3
ll,2
wouldn,2
coffee,2
good,11
food,8
lunch,3
meat,4
didn,4
courses,3
stopped,3
broughton street,3
meal,2
waffle,3
girl,2
rude,2
pleasant,3
wanted,2
ate,2
waiter,3
times,3
thing,2
pudding,2
waitress,4
long,2
delicious,4
wasn,7
quality,4
checked,2
service,5
ordering,2
tea,2
syrup,4
celery salt,2
friend,4
loved,2
kind,2
yum,2
nicer,2
modern,2
mind,2
breakfast,2
cauliflower soup,2
waffles,4
recommended,2
price,3
salmon,2
plenty,3
don,4
upset,2
place,10
day breakfast,3
annoyed,2
fact,2
atmosphere,3
great meal,2
enjoyed,6
staff,5
busy,2
hadn,2
menu,4
sugar,2
toffee,2
plate,2
cappuccino,2
perfection,2
bad,3
steak,9
husband,2
honesty,2
cocktails,2
tender,3
close,2
lots,3
side,2
arrival,2
attention,2
seafood,2
restaurant,2
amazing,2
asked,6
point,4
gave,2
table,6
speak,2
white pepper,2
rush back,2
easy,2
brunch,6
choices,2
tasty,2
ve,6
butter,3
thought,3
burgers,5
nachos,2
part,2
cut,2
day,5
add,2
slightly abrasive,2
big,2
possibly,2
green machine smoothie,2
bit,4
disappointed,3
maple syrup,3
night,2
served,2
back,4
sauces,2
felt,2
rare,2
ribs,4
dinner,2
empty,2
slightly,2
made,3
portions,2
fries,2
ordered,3
taste,2
special,2
whipped cream,2
nice,9
wife,2
mash,2
cooked,3
time,4
fresh,2
