name,count
dish,2
ambience,2
presentation,2
friendly,3
returning,2
dessert,2
choice,2
open,2
burger,2
yanky,2
drinks,2
water,2
saturday night,2
wait,2
great,2
love,2
creamy,2
give,2
share,2
heard,3
honest,2
onions,2
pizza,5
edinburgh,5
spot,2
wine,2
bowl,2
group,3
evening,4
food,7
lunch,2
half,3
day,3
bread,2
risotto,2
didn,6
pastas,2
meal,5
pork,2
idea,2
expect,3
entering,2
quality,3
tiramisu,2
put,3
wanted,3
thing,2
place,2
waitress,2
feel,4
service,2
white,2
dogs,3
friend,2
haven,2
seated,2
dishes,2
price,3
payment,2
order,4
left,5
mains,2
area,2
staff,2
busy,2
menu,7
starters,3
plate,3
2,2
chips,2
coley,2
bar,2
bad,2
3,2
bad experience,2
diners,2
amore,2
restaurant,2
tomato salad,2
table,4
olives,2
underdogs,3
weren,2
good,4
mushroom risotto,3
sliders,2
arrived,2
money,2
tables,4
add,2
night,3
served,4
italian,3
back,3
home,3
ordered starters,2
pasta,4
dinner,3
dined,2
long,2
start,2
lot,2
ended,2
made,2
amore dogs,7
ordered,3
tasty,2
tone,2
pizzas,4
friends,4
booked,3
cooked,3
portion,3
time,3
