name,count
lack,2
atmosphere,2
suite,3
friendly,2
choice,2
royal mile,2
level,2
tea,3
rate,2
stood,2
view,2
afternoon tea,3
great,6
vegetarian,2
experience,2
brought,2
visit,3
recommend,2
room,6
work,2
worth,2
give,3
stayed,6
located,2
edinburgh,6
stop,3
scotsman hotel,3
classy,2
egg,3
bartenders,2
wine,3
gluten free,2
amazing,2
good,4
food,7
lunch,2
day,2
didn,2
scones,3
fish,2
pleasant,3
couldn,2
days,2
times,3
thing,2
place,2
husband,2
castle,2
cheese,2
delicious,2
service,4
hotel,5
seated,2
scone,2
sandwiches,4
normal,2
salmon,2
regular,2
don,3
request,2
review,3
staff,5
hope,2
bar,4
restaurants,2
cocktails,2
yelpers,3
lots,2
wow,2
3,2
mum,2
asked,2
upgraded,2
point,2
table,2
expected,2
lovely,2
choose,2
turned,2
pricey,2
prices,2
scotsman,6
5 stars,2
stunning,2
newspaper,2
scotsman newspaper,2
ve,5
quiet,2
things,2
make,6
plated,2
drink,2
opportunity,3
lobby,2
thought,2
hotel restaurant,2
left,2
ham,3
function rooms,2
remember,2
improvement,2
extensive,2
surprised,2
customers,2
couple,3
north bridge brasserie,2
helpful,2
served,2
people,4
highly recommend,3
back,2
home,2
run,2
dinner,3
impressed,2
spending,2
long,2
lot,3
eat,3
made,3
places,3
inside,2
whiskey,2
ordered,3
clotted cream,3
tasty,2
nice,6
update,2
tea orders,2
building,5
time,3
