name,count
prices,2
town,4
enjoy,2
tea,2
drinks,2
stockbridge market,3
brilliant,2
amount,2
king,2
love,5
chunky,2
market,2
friendly,2
reviews,2
harajuku kitchen,6
give,2
simple,2
end,2
amazing,2
edinburgh,4
takeaway,2
harajuku,3
cuts,2
ll,4
avocado,2
sauce,2
good,11
food,11
half,2
day,2
meal,2
fish,3
hard,2
thing,2
place,10
isn,2
number,2
delicious,5
quality,3
service,3
ordered,3
haven,2
assorted sashimi,2
comfortable,2
tastes,2
dishes,5
salmon,3
don,4
fact,4
sashimi,3
enjoyed,3
staff,5
menu,6
dragon roll,2
rice,3
future,2
japanese food,2
high quality,2
restaurant,4
agedashi tofu,2
japanese restaurants,2
lovely,3
relaxing,2
great,3
pricey,2
ve,2
dumplings,2
sushi,9
decor,2
make,4
greeted,2
money,3
fantastic,2
rest,2
cut,2
character,2
big,3
couple,2
highest quality,2
bit,4
disappointed,2
helpful,2
served,2
back,5
table,2
east meets west,2
side,2
dinner,2
tofu,2
rolls,2
area,3
forward,3
hk,2
eat,3
made,3
portions,2
inside,3
tasty,5
theatre,2
japanese restaurant,2
roll,3
nice,7
friends,3
lot,3
time,4
fresh,6
