name,count
worth,3
venue,2
street,3
hate,2
told,3
saturday night,2
fantastic,3
music,3
recommend,4
glass,3
excellent,4
room,5
vodka,2
give,5
george st,3
end,2
amazing,2
decor,5
wrong,4
wine,5
écor,2
side,3
celebrating,2
wanted,3
days,2
ish,2
loud,4
downside,2
delicious,6
wasn,2
service,9
girls,2
seated,2
matter,2
mind,2
recommended,2
don,5
overpriced,2
enjoyed,2
busy,2
menu,2
weekends,2
bar,16
bad,3
decided,3
lots,5
received,2
asked,3
lovely,6
weren,3
played,2
breakfast,2
things,2
make,6
greeted,2
mother,3
left,2
night,10
people,9
dinner,8
call,3
happy,3
head,2
inside,3
check,3
felt,6
weekend,5
time,10
bar area,2
minute,2
cool,2
specials,2
quick,2
round,4
trend,2
cost,2
voucher,3
drinks,6
great meal,2
change,2
wait,2
love,6
prefer,3
visit,4
great place,8
making,2
awesome,4
pink,3
1,3
edinburgh,11
staying,3
cocktail,5
spot,2
guys,4
lacked,2
ended,3
main,3
lunch,3
didn,9
cool place,2
morning,3
shown,2
couldn,2
waiter,2
thing,4
place,18
waited,2
cheese,4
open,4
size,2
city,4
2,8
friend,3
set menu,2
12,3
sat,3
price,4
mains,2
stay,4
husband,3
cocktails,15
3,5
highlight,2
attentive,3
good,11
pay,5
bottle,3
4,2
world,2
disappointed,2
server,2
meal,4
ladies,2
start,4
fish,2
tasty,3
cream,2
booked,3
wife,2
norm,2
case,3
large,2
opted,3
afternoon tea,2
inspired,2
experience,5
pick,3
family,2
tigerlily,18
door,6
3 courses,2
glad,2
town,2
hour,2
huge,3
stayed,2
tigerlilly,5
crowded,2
25,2
wouldn,3
evening,6
food,16
everytime,2
courses,2
hard,6
idea,2
finish,2
expect,3
friday,2
pleasant,2
reason,2
put,5
guy,2
girly,2
expecting,3
feel,3
number,2
guess,2
hotel,5
part,2
kind,7
sandwiches,2
tiger lily,4
fine,3
find,2
pretty,2
money,2
hit,3
restaurants,2
bars,4
close,3
restaurant,7
forgotten,2
sweet,2
scallop,2
likes,2
priced,2
pricey,2
hostess,2
fun,3
disappointing,2
ready,2
spent,3
tables,2
lady,3
grapefruit,2
location,2
couple,5
bit,6
highly recommend,3
arrived,3
back,10
trendy,5
run,2
served,7
long,5
ordered,5
doesn,2
£15,2
nice,7
age,2
walked,4
fresh,2
melted chocolate,2
good food,3
suits,2
friendly,3
dessert,4
drinking,2
booth,3
odd,2
giving,2
chose,3
punch,2
great,5
sort,2
starter,3
customer,2
sip,2
sit,3
establishment,3
classy,2
perfect,2
ll,3
day,6
pretty good,2
steak,5
times,5
waitress,2
quality,4
lot,5
july,2
bed,3
dishes,2
looked,3
fact,6
agreed,2
bring,2
staff,8
surroundings,2
familiar,2
cold,3
packed,2
front bar,2
job,2
piece,2
joke,2
table,6
treat,2
lovely time,2
pretentious,4
ve,11
drink,8
thought,4
rooms,3
add,3
5,2
warrant,2
chairs,2
sister,2
cocktail menu,2
scones,2
noticed,2
eat,2
george street,5
made,3
places,2
minutes,3
star,2
chance,3
friends,7
