name,count
worth,3
sitting,2
find,2
hours,2
wait,2
great,3
cooked,2
ve,3
greasy,3
newington traditional fish bar,2
£1,2
customer,2
friendly,2
give,2
battered,2
amazing,2
edinburgh,5
counter,2
order,3
good,3
food,4
front,3
meal,2
fish,9
reason,2
place,7
newington,3
clerk street,2
haven,2
mind,2
price,2
don,2
looked,2
fact,4
staff,3
batter,3
chips,12
fluffy,2
decided,2
brown sauce,3
received,2
cod,2
crispy,2
prices,2
claims,2
5 stars,2
couple,2
served,2
back,2
eat,2
south clerk street,2
buy,2
portions,2
fried,3
ordered,2
taste,2
cardboard box,2
chippy,3
time,3
fresh,5
