name,count
desserts,2
dish,2
friendly,2
awful,2
bacon,2
burger,3
food arrived,2
based,2
great,4
call,2
give,2
share,2
spot,2
good,2
food,6
didn,3
opened,2
couldn,2
conversation,2
place,6
waitress,2
cheese,2
wasn,2
service,2
friend,2
lot,2
seated,2
alcohol licence,2
don,2
hot dog,2
chicken,3
menu,2
plate,2
bad,2
restaurants,2
restaurant,2
asked,2
table,2
crispy,2
eatery,2
worked,2
burgers,2
nachos,2
money,2
couple,2
back,7
eat,2
ordered,3
tasty,2
£10,2
felt,2
time,3
