name,count
eggs benedict,2
glad,2
worth,2
dessert,2
cool,3
friendly staff,2
bacon,2
burger,2
pass,2
full,4
great,4
circle breakfast,2
fantastic,2
started,2
warm,2
friendly,3
give,2
amazing,2
edinburgh,2
spot,2
wrong,2
light,2
waitress,3
perfect,3
group,2
interesting,2
ll,2
feel,2
coffee,4
return,2
food,9
lunch,3
front,2
day,2
didn,4
reasonable,2
meal,3
expect,2
care,2
area,2
times,3
thing,3
place,8
delicious,3
wasn,2
owner,2
quality,2
service,4
top,4
tea,2
lot,2
kind,4
seated,2
circle café,2
breakfast,3
eggs,4
don,2
nice place,2
atmosphere,4
telling,2
corner,2
find,4
menu,5
winner,2
wood,2
circle,6
stop,2
smoked salmon,3
decided,3
circle cafe,4
great food,2
lots,3
recently,2
restaurant,2
cafes,2
planned,2
cakes,3
lovely,2
lived,2
visited circle,2
priced,2
ve,7
good,6
make,2
asked,2
tables,2
early,2
finding,2
immediately,2
bit,3
furniture,2
semi,3
chairs,2
server,2
back,4
table,2
chips,2
pepper,2
served,2
range,3
long,2
eat,4
made,2
cake,2
ordered,3
cafe,2
floor,2
nice,5
felt,2
chance,3
time,2
fresh,2
