name,count
limited,3
spinach dish,2
school,2
vegetable curry,5
enjoy,5
told,4
dahl,3
changed,2
fantastic,2
recommend,4
excellent,2
£4,3
£5,9
£1,3
work,3
give,6
kebabs,2
lamb curry,4
vegetarian options,2
order,5
tasty curry,3
meat,4
potatoes,3
filling,4
reasonable,2
meal,10
plastic cutlery,2
enormous,2
inexpensive,2
days,2
graces,2
delicious,9
wasn,5
service,7
ton,2
serve,2
mind,2
garlic naan,4
convenient,2
don,13
enjoyed,3
busy,2
menu,6
adequate,2
rice,32
chicken curry,8
pocket,2
bad,4
great choice,2
decided,4
00,3
lots,3
kitchen,5
uni,3
massive,2
curries,5
basic,3
expected,2
weren,2
mistake,2
make,6
plates,5
tasty meal,3
character,2
easy,3
aubergine,2
50,9
night,3
people,12
curry,15
tastier,2
cafeteria,5
small room,2
happy,2
head,2
offer,4
hear,2
portions,8
time,11
basically,2
hole,3
veg,3
£3,8
word,3
level,2
leave,3
quick,4
corner,3
eating,8
gazebo,2
water,3
change,4
wait,2
brilliant,3
queue,2
canteen style,2
love,7
working,2
visit,2
live,2
today,2
wallet,2
massive portions,2
sample,2
1,2
quick meal,2
guys,2
chickpea,2
edinburgh central mosque,2
good place,2
lunch,4
didn,2
year,5
vegetarians,2
care,2
couldn,2
place,26
fast,3
city,2
friend,4
note,2
price,11
paid,3
importantly,2
hungry,3
cheap,19
daal,2
satisfied,2
seat,3
3,3
diners,2
pay,10
week,4
finish,2
money,6
summed,2
disappointed,3
served,5
fiver,3
naan,7
canteen,2
paper plates,3
central,2
side,2
road,2
mosque kitchen,26
area,2
meals,2
low,2
lot,10
spicy,3
tasty,11
fill,8
5,2
students,5
lack,3
dish,2
sitting,2
large,2
situated,2
full,4
vegetarian,3
amount,3
pick,4
options,5
cheap curry,2
hurry,3
glad,2
town,3
huge,4
naan bread,4
isn,4
simplicity,2
frills,2
authentic,5
sauce,3
good,19
return,2
food,37
visiting edinburgh,2
2nd time,2
occasions,2
found,2
downside,2
expect,4
surrounded,2
reason,3
reasonable price,2
put,3
loads,2
extra £1,2
expecting,2
dont,3
feel,3
fancy,2
miss,2
guess,2
part,5
eaten,3
clear,2
clean,6
fine,3
pretty,2
kind,2
tender,2
close,3
won,5
restaurant,7
simple,4
sweet,2
lived,3
prices,5
budget,3
ready,2
decor,2
things,3
pigeons,3
tables,2
big portions,2
location,4
couple,3
bit,6
popular,2
back,15
big plate,2
generous portions,2
specifically,2
suit,2
line,2
ordered,2
doesn,4
cafe,2
tarp,3
nice,3
favourite,2
cooked,3
fresh,3
good food,3
enjoyable,2
concerned,2
mosque,12
ambience,2
friendly,8
years ago,2
find,7
waiting,2
chickpeas,3
chickpea curry,2
great,12
makes,2
heard,5
didnt,2
plate,3
pieces,2
lamb,4
sit,9
counter,2
takeaway,3
good curry,2
perfect,4
ll,4
choose,3
day,10
warned,2
seating area,2
edinburgh,13
good variety,2
pretty good,2
times,7
quality,4
long,3
festival,2
accompany,2
haven,6
visited,3
dishes,4
locals,3
dent,2
fact,2
table service,3
chicken,9
staff,5
winner,2
beat,2
great food,4
closed,2
sold,3
job,2
wall,2
walk,2
chicken tikka masala,2
unlike,3
plain,2
ve,12
eating area,2
difficult,2
student,2
thought,7
seats,2
point,2
indoor seating,2
chairs,2
peas,2
5 star,2
eat,11
made,4
places,5
problem,2
variety,4
stay,2
friends,8
yelp,2
