name,count
friendly,3
friendly staff,2
small,2
loads,2
smaller,2
tuesdays,2
told,2
wait,2
great,2
options,2
love,3
pasta,2
6,2
flat,2
warm,2
starter,2
pizza,6
edinburgh,5
lot,2
wine,3
choose,2
good,4
food,5
filling,2
meal,4
hard,2
expect,2
salads,2
space,2
leith walk,3
waiter,2
place,3
cheese,2
delicious,2
service,2
mind,2
don,5
mains,2
bookings,2
fine,2
enjoyed,2
menu,2
eat,4
starters,2
flavours,2
restaurant,3
ll,2
simple,2
walk,5
table,4
bruschetta,2
ve,2
italy,2
drink,2
rocket,3
bit,2
italian,2
back,2
home,2
dinner,2
antipasto plate,2
origano,5
made,3
places,2
ordered,2
taste,2
ins,3
tasty,3
nice,6
felt,3
pizzas,3
friends,3
time,2
