name,count
people,3
dish,2
long time,3
sashimi,3
cold food,2
friendly,5
vegan,2
ramen,7
doesn,2
level,2
tuna sashimi,2
small,5
pork,2
chicken,2
hungry,2
shared,2
told,3
full,2
vegetarian bento box,2
rubbery,2
wait,2
great,5
items,2
experience,4
amount,2
bento box,2
point,2
love,2
slices,2
ages,3
sort,2
excellent,2
glad,2
town,3
rice,3
heard,3
fringe,2
give,3
share,2
high,2
honest,2
sushi bars,3
end,3
wandered,2
located,2
bonsai,2
edinburgh,9
3,2
authentic,3
remember,2
chopsticks,2
order,3
wine,2
serving,2
bowl,3
whilst,2
japan,2
cold,2
fit,2
ll,2
hot,3
choose,2
sauce,2
good,12
food,15
wasabi,2
mention,2
half,2
front,2
didn,10
october,2
filling,2
meal,6
delicious,5
fish,4
hard,2
idea,2
owner,2
expect,3
year,4
special,2
quality,3
shows,2
pleasant,2
california,2
wanted,2
craving,2
care,2
ate,3
couldn,3
waiter,3
put,4
thing,4
place,13
cucumber,2
pop,2
wasn,2
service,8
tangs,4
ordered,5
friend,2
boyfriend,4
happy,3
seaweed salad,2
mind,2
eyes,2
pedestrian,2
close,2
dishes,3
scotland,2
note,2
miso soup,4
price,3
overcooked,2
salmon,3
plenty,5
don,10
average,2
consisted,2
selection,2
find,5
staff,7
menu,9
pretty,2
plate,3
spicy,2
bad,3
enjoyed,4
decided,2
noodles,2
wow,2
superb,2
won,4
gyoza,5
affordable,3
majority,2
japanese food,5
kei ramen,2
suggested,2
hot mains,2
restaurant,10
waiting staff,3
rice noodles,2
asked,4
portion sizes,2
expensive,7
atmosphere,2
addition,2
expected,2
lovely,6
direction,2
offered,2
pricey,3
raw fish,2
prices,4
tang,18
bill,2
ve,5
sushi,12
evening,3
partner,2
cuisine,2
maki,3
things,3
make,4
split,2
teriyaki tofu,2
large dining area upstairs,2
week,2
fatty,2
soak,2
thought,8
tasted,2
spend,2
left,3
ordering,2
teriyaki,2
interior,2
bit,4
disappointed,3
50,4
pork gyoza,2
night,3
popular,2
served,8
back,9
table,5
literally,2
chicken teriyaki,2
nigiri,2
appetising,2
eating,2
chefs,2
dinner,4
slightly,5
upstairs,2
aren,2
suit,2
tonkotsu ramen,2
eat,3
made,4
places,2
fresh sushi,2
inside,2
uk,2
taste,3
lived,2
forgot,2
tasty,8
yokohama,2
compared,2
japanese restaurant,4
nice,9
star,3
felt,2
friends,2
portion,2
fact,6
time,5
£8,2
