name,count
emily,2
regulars,2
cask ales,2
worth,2
ale,2
drinking,2
fireplace,2
good stuff,2
quick,2
cloister,2
enjoy,3
folk,2
drinks,8
boardgames,2
weren,2
enjoyed,4
told,3
cozy,2
hours,2
groups,2
saturday night,2
great,5
pick,2
makes,2
love,3
visit,2
6,2
sort,3
flat,2
door,2
beers,8
excellent,2
whisky,7
town,2
work,3
friendly,7
meet,3
regularly,2
tap,6
honest,2
winter,2
cloisters sell,2
real ales,2
pint,6
edinburgh,9
spot,2
guys,2
man,2
crowded,4
sit,2
talk,2
serving,2
vary,2
call,2
interesting,2
wouldn,3
good,5
food,8
easily,2
didn,2
ales,4
side,2
fish,3
wasn,2
turned,2
pub,6
ate,2
days,2
times,2
thing,2
place,10
isn,2
feel,3
guess,4
friend,2
serve,3
part,3
gin,2
haven,2
kind,2
visited,2
feeling,2
mind,2
scotland,2
play,3
added,2
eaten,3
don,3
traditional,2
lots,2
cramped,2
bartenders,2
booze,2
atmosphere,3
selection,3
find,4
staff,5
busy,10
weekends,2
locals,2
pretty,3
local,5
means,2
bar,15
ended,4
bars,2
set,2
seat,5
won,2
kitchen,3
real ale,3
admit,3
asked,3
point,4
church,4
table,3
crispy,2
beer,9
lived,3
good mix,2
quiet drink,3
bar staff,2
personally,2
chill,2
ain,2
ve,5
decor,2
make,2
difficult,2
week,3
drink,3
thought,3
spend,2
knowledgeable,3
seats,2
beer enthusiasts,2
4,2
couple,7
early,2
bit,2
helpful,2
night,5
served,5
lager,3
seating,2
people,5
home,2
chips,3
good selection,3
biased,2
friday night,2
traditional pub,3
charm,2
slightly,2
meadows,2
start,2
lot,5
happy,2
offer,5
back,3
made,3
converted,2
ordered,2
taste,2
doesn,2
tasty,2
chat,2
evenings,2
ll,2
felt,2
chance,3
priced,2
friends,4
ago,2
cloisters,11
time,6
