name,count
friendly,3
royal mile,2
die,2
drinks,4
change,2
great,3
recommend,2
sharing,3
glass,2
excellent,2
work,2
making,2
sample,2
small plates,3
dinner,2
amazing,2
edinburgh,2
cocktail,4
tapas,2
order,3
ll,2
happened,2
good,2
food,8
didn,2
side,2
mmm,2
wanted,2
place,10
service,3
ordering,2
loved,2
happy,2
dishes,3
interior,2
price,2
don,2
hungry,2
annoyed,2
staff,4
menu,5
brown paper buck,2
bar,6
cocktails,8
won,2
restaurant,3
sweet,2
reverse manhattan,2
scotch egg,3
ve,2
bar kohl,5
ready,2
decor,2
rest,2
location,2
couple,2
bit,3
helpful,2
people,2
back,3
eating,3
lot,2
bar snacks,2
ordered,4
taste,2
chat,2
sligh house,7
check,2
nice,3
time,2
friends,3
fresh,2
