name,count
sleep,2
friendly,3
tea,3
cat,7
staff,3
told,2
great,4
experience,2
toys,2
visit,3
hour,4
worth,2
breeds,3
edinburgh,3
playing,3
shoes,3
group,2
didn,2
missed,2
couldn,2
cat cafe,2
turn,2
heck,2
place,4
personalities,2
ordered,2
future,2
turned,2
play,2
plenty,2
don,3
looked,4
find,2
maison de moggy,3
attention,2
picking,2
asked,2
cakes,2
lovely,3
ve,5
things,2
purpose,2
jealous,2
spend,4
questions,2
happiness,2
day,2
rules,2
lady,2
people,3
home,3
elodie,2
fed,2
love cats,2
cats,8
places,2
cake,6
freak,2
moved,2
cafe,3
book,2
nice,2
felt,2
important,2
time,2
