name,count
good food,3
focus,2
burritos,4
worth,5
waiters,2
sitting,2
good selection,2
fab,2
drinking,3
cool,5
small,3
loads,2
main courses,2
enjoy,2
drinks,9
adds,2
find,2
hours,2
great,15
brilliant,2
changed,3
experience,2
makes,3
options,2
fantastic,3
love,4
guacamole,4
brought,2
tequilas,2
visit,8
recommend,2
popped,3
pretty,3
beers,3
£4,2
town,4
friendly,3
give,2
share,2
favourite bar,2
sample,2
times,2
thing,2
hot,2
pretty reasonable,2
isn,2
edinburgh,7
cocktail,2
tacos,2
remember,2
pleasantly surprised,2
order,2
wine,3
mexican,2
years,3
managed,2
ll,4
choose,3
chatty,2
main,2
good,15
food,25
lunch,2
walls,2
front,2
didn,2
broughton street,6
found,2
serves mexican food,2
idea,2
space,2
bad,2
pub,3
imagine,2
wanted,4
craving,2
honest,3
place,17
loud,2
guac,4
feel,3
delicious,4
noticed,2
quality,2
size,2
service,5
top,2
earthy,2
ordered,2
friend,2
stairs,4
kind,2
visited,3
modern,2
efficient,2
scotland,2
mix,2
recommended,3
tequila,2
added,2
price,4
eaten,2
don,8
part,2
nice place,2
fact,3
atmosphere,4
selection,2
cheap,2
enjoyed,3
staff,6
busy,3
wear hawaiian shirts,2
menu,4
starters,4
meant,2
lit,2
loved,2
made,4
basement,13
chips,2
bar,10
girl,2
ended,3
cocktails,6
mashed potato,2
generous portion,2
restaurant,7
table,7
quickly,2
beer,3
lovely,4
spacious,2
pricey,3
prices,4
fun,2
ve,9
side,2
shame,2
fairy lights,2
decor,2
make,4
fajitas,3
mexican food,5
week,3
drink,7
pubs,2
burrito,5
dishes,2
thought,5
nachos,2
tables,2
point,3
simple,2
add,2
gave,2
couple,3
dark,5
bit,8
furniture,2
helpful,2
50,3
night,2
served,2
soft,2
people,2
back,12
liking,2
adorable,2
stylish,2
area,2
start,2
lot,2
happy,2
offer,4
places,2
inside,3
moved,2
doesn,3
tasty,5
ingredients,2
highly recommended,2
book,2
salad,2
felt,2
longer,2
yelp,3
home,2
portion,3
time,9
£8,2
