name,count
byob policy,3
concept,3
managed,3
forget,3
indian tapas,2
railway station lamb,2
large group,4
dish,7
good food,2
fish cakes,2
worth,4
waiters,2
leave,3
quick,3
enjoy,2
seasoning,2
opted,3
indian,4
chickpeas,2
full,4
busy,7
making,2
wait,3
great,11
experience,6
makes,2
options,2
visited,2
love,3
visit,5
music,3
recommend,6
radar,2
sort,2
popped,2
thing,3
room,3
hour,2
work,2
friendly,4
pickle,2
ready,2
give,4
share,3
bollywood posters,3
butter chicken,6
lamb,5
end,3
sit,2
sitting,2
dinner,5
hot,4
lamb curry,2
edinburgh,4
light,2
tapas,4
ve developed,2
waited,2
tuk tuk indian street food,2
order,10
wine,4
find,2
ended,3
mentioned,2
style,2
ll,3
amazing,3
cool,2
good,12
return,2
food,20
half,3
day,2
samosas,3
didn,6
filling,2
reasonable,2
found,3
meal,8
bone,6
hard,2
idea,5
expect,2
year,3
shown,2
lime,2
saag paneer,2
pretty good,4
free,3
small,2
wanted,5
couldn,2
area,4
times,3
place,15
feel,2
veggie,2
fancy,2
fast,2
delicious,7
wasn,2
quality,3
nip,2
service,11
spinach,3
top,2
served,4
friend,2
tuk tuk,14
remember,3
kind,4
burger,2
veggie dishes,2
tasted,5
1,2
orders,3
dishes,14
person,7
interior,2
theatre,2
indian food,3
plenty,2
complaints,2
don,5
won,3
great food,2
atmosphere,6
selection,2
discovered,2
bring,2
booze,2
chicken,4
staff,7
finally,2
dice,2
menu,10
rice,6
loved,2
stars,2
chutney,2
grab,2
boyfriend,2
set,3
decided,3
packed,2
visiting,3
lots,4
review,3
3,4
tollcross,2
attention,3
diners,2
group,4
kitchen,3
restaurant,8
money,2
asked,2
sag paneer,3
pop,2
table,9
expensive,2
mango lassi,2
basis,2
rice portions,2
beer,3
4,2
ages,2
sauce,2
bill,3
weren,3
surprised,2
fun,3
ve,10
evening,3
chicken lollipops,3
tasty food,2
decor,5
underwhelmed,2
check,2
vegetable,2
arrived,4
thought,3
things,2
rest,2
add,2
easy,2
coming back,2
excited,3
couple,3
bit,10
noted,2
roti,2
night,5
works,2
people,5
highly recommend,2
back,8
home,2
pickles,2
/,3
pretty hungry,2
corkage,2
curry,2
accompanied,3
4 dishes,2
impressed,2
friends,3
street food,3
lot,6
forward,2
naan,5
happy,2
spicy,2
names,2
offer,3
6,2
paneer,3
eat,2
made,2
flavour,2
byob,10
problem,2
ordered,9
forgot,2
tasty,10
delicious food,2
spice,3
5,2
flavoursome,2
nice,5
trip,2
railway lamb,2
favourite,3
felt,5
chance,3
potato,2
cooked,4
time,5
fresh,3
starting,3
attentive,2
