name,count
hate,2
worth,4
enjoy,8
street,5
told,2
saturday night,2
recommend,2
brewdog,27
excellent,3
£4,2
£3,2
bartender,3
room,2
work,5
pints,4
turn,2
hot,2
pizza,7
order,4
wine,2
writing,2
weeks,2
pretty cool,2
bottled beers,4
standard,3
wanted,2
pubs,2
moment,2
isn,4
wasn,4
service,5
guinness,2
serve,3
feeling,2
modern,3
mind,2
san diego,2
good beer,4
plenty,2
don,12
enjoyed,5
make,10
busy,8
menu,3
great beer,6
bar,18
bad,2
decided,2
lots,3
picking,2
asked,2
offerings,3
tiny,2
quickly,2
beer,30
stone ipa,2
life,2
good mix,2
brewer,2
brewdog bar,2
bottles,2
things,5
cowgate,11
hang,2
easy,2
craft brews,2
unique,2
50,4
night,5
5%,2
crowd,4
people,7
confusing,2
inside,3
marketing,2
dinner,3
free wifi,2
rounds,2
whopping 41%,2
happy,5
form,2
offer,2
back,9
check,2
good thing,2
intend,2
pizzas,7
weekend,2
craft brew,2
focus,3
brewdog edinburgh,3
choice,2
cool,2
couches,2
leave,6
cosy,2
change,3
ipa,4
love,10
prefer,4
give,5
visit,4
live,2
actual brewery,2
beers,25
great place,2
tokyo,2
heart,2
sample,7
allowed,3
trashy blonde,2
pint,9
edinburgh,16
guys,4
group,2
interesting,2
board games,6
amazing,9
good place,4
tucked,3
half,3
didn,10
rock,2
yeah,2
year,2
great places,2
couldn,3
punk,2
thing,5
place,21
cheese,4
open,3
city,3
friend,5
10,2
venture,2
tasted,4
nicer,2
tastes,2
mates,2
normal,2
price,2
knew,4
america,2
wide range,3
corner,3
hardcore ipa,3
seat,3
guest beers,2
review,2
barstaff,2
share,2
cares,2
mark,2
offered,2
case,4
evening,2
trip,3
favorites,2
totally,2
bottle,2
summer,2
knowledgeable,2
rest,3
flavor,2
4,4
samples,3
read,3
stools,3
world,5
real beer,3
served,2
seating,3
porter,2
edinburgh bar,2
low tables,2
visits,2
stone,2
favorite,2
stand,4
aren,3
hey,2
stars,3
taste,6
general,2
tasty,4
stumbled,2
5,3
students,2
time,13
grassmarket,2
bismarck,5
rogue,2
fan,3
list,2
small,2
pass,2
opted,2
abv,2
hours,2
experience,4
town,5
tasters,2
states,3
coming,5
short,3
crowded,4
style,2
2%,2
wouldn,2
good,10
food,15
stopped,2
found,5
hard,3
idea,2
expect,2
booths,3
alcohol,2
brewery,5
drink,4
pub,5
imagine,3
put,5
terrible,2
feel,8
number,2
story,2
guest,2
comfy,2
luckily,3
part,3
kind,4
scotland,3
majority,2
play,3
american style beers,2
area,3
fine,3
find,9
music,2
bars,3
alcohol content,2
close,4
visiting,2
won,4
brewing,3
barely,2
headed,2
fun,5
decor,2
brewdog beers,2
9,2
spend,3
belgium,2
alternative,2
continent,2
tables,2
recommended,2
location,10
excited,2
couple,4
game,2
great bar,2
bit,8
highly recommend,3
7%,2
good selection,3
long,3
relaxed,2
uk,8
ordered,4
chat,2
nice,13
walked,2
enjoyable,2
friendly,9
drinking,2
royal mile,3
giving,2
brewdog location,2
sink,4
great atmosphere,4
great,11
sort,2
obvious,2
tap,4
high,3
sit,6
located,3
stock,3
stop,2
realized,2
bartenders,4
move,2
ll,6
choose,5
mention,2
hands,3
day,5
cider,2
truth,2
special,2
confess,2
pretty good,3
spot,2
times,3
quality,4
lot,5
haven,3
loved,2
sweden,2
ipas,3
afraid,2
refreshing,2
brew,5
fact,4
atmosphere,6
selection,8
staff,15
based,2
hops,5
local,2
hope,5
lucky,2
tactical nuclear penguin,5
stuff,2
super friendly,2
tend,3
keg,2
punk ipa,10
taking,2
admit,2
wall,4
addition,2
treat,3
ve,14
site,2
expand,2
variety,4
thought,2
point,5
hoppy,2
pies,2
helpful,4
lose,2
home,4
red ale,3
introduced,2
buy,2
brew dog,5
made,3
places,5
breweries,4
smooth,2
mikkeller,2
incredible,2
friends,5
