name,count
stack dim sum,2
friendly,3
choice,2
dim,3
small,2
opted,2
dim sum,9
good dim sum,2
shared,2
full,2
great,4
experience,3
love,3
greasy,2
excellent,2
town,2
worth,3
share,5
chicken feet,2
small plates,2
vietnamese spring rolls,2
disappoint,2
edinburgh,6
buns,2
favourites,2
order,4
whilst,2
cold,2
ll,2
home made,2
good,7
food,10
china town,2
didn,3
filling,2
reasonable,2
prawn,2
york,2
service,6
times,2
place,12
heard good things,2
waitress,2
delicious,4
wasn,3
lot,3
discovered,2
dishes,4
eaten,2
don,4
find,4
staff,2
busy,2
menu,7
bad,2
restaurants,2
noodles,3
char sui bun,2
lots,2
3,3
won,4
restaurant,2
quickly,2
beer,2
4,2
prices,2
ve,7
wouldn,2
dumplings,2
squid,2
things,2
make,3
stack,6
cut,2
tablet,2
extensive,2
excited,2
couple,2
bit,8
people,2
back,5
home,2
eating,4
plenty,3
long,2
homemade,2
chicken claws,3
eat,2
ordered,2
doesn,3
tasty,3
duck spring rolls,2
5,2
favourite,2
friends,4
time,3
fresh,3
