name,count
write harry potter,2
window seat,2
worth,7
school,3
good coffee,3
enjoy,3
bacon,2
told,3
pancakes,2
dry,2
changed,3
music,3
calm,2
recommend,4
relax,4
warm,4
room,2
work,6
give,6
honest,6
end,5
turn,2
rowling wrote harry potter,2
amazing,6
writers,2
interview,2
place,55
pizza,4
wrong,2
waited,3
enter,2
order,8
london,2
writing,11
coffee,29
tourist,2
queues,4
panini,2
meal,3
pretty cool,2
strangers,2
jk rowling,14
standard,4
wanted,5
shelves,2
days,3
isn,4
loud,2
characters,2
delicious,8
wasn,9
service,18
needed,3
serve,2
seated,5
feeling,2
mind,3
mine,5
lunchtime,2
quieter,2
recommended,2
plenty,3
don,15
reputation,2
ending,2
enjoyed,6
busy,11
menu,7
haven,2
cappuccino,2
watch,3
bar,2
bad,6
fair,2
decided,5
lots,6
nice view,2
uni,2
asked,4
tons,3
speak,2
bathroom,10
lovely,9
café,10
personally,2
weren,4
shame,2
breakfast,2
make,12
split,2
hang,2
harry potter fans,5
great location,2
nachos,3
left,2
fantastic,2
character,2
gave,2
interior,2
brought,3
birth place,5
night,5
baked potato,2
people,14
comments,2
average food,2
dinner,2
afternoon,5
mocha,6
head,2
attempted,2
hear,2
true,3
portions,5
inside,3
huge harry potter fan,2
check,8
good thing,2
topped,2
felt,2
time,13
stick,2
managed,2
milk,2
supposedly,2
show,2
finally,4
brownie,5
bustle,2
cool,5
bring,4
loads,2
collage,2
sign,4
eating,2
drinks,5
suspect,2
filled,2
wait,8
brilliant,2
queue,3
chicken tikka baked potato,2
weird,2
love,8
working,3
visit,12
bill,2
share,4
great place,2
originally,2
reviews,3
soup,5
great atmosphere,2
claim,3
write,13
till,2
elephant,4
edinburgh,26
spot,7
latte,4
remember,4
elephant house,34
years,5
3 stars,2
hot,6
window,9
happened,2
views,5
lunch,8
half,3
didn,14
jk rowling wrote,3
year,2
avoided,2
space,3
carrot cake,3
couldn,3
waiter,2
thing,9
yum,3
cheese,2
potter,3
fast,2
open,4
cheesy,2
city,7
stuck,3
bite,2
friend,8
boyfriend,2
wide,2
tasted,2
froth,2
turned,3
george iv bridge,2
sat,6
ideal,2
potential,2
price,3
knew,2
paid,2
complaints,2
microwaved,2
forever,2
average,5
hungry,2
great views,4
rowling wrote,2
penned,2
walking,3
slow,5
seat,9
review,2
3,3
reading,2
jk,5
cafes,4
pot,2
judging,2
bathrooms,5
fame,5
author,2
pay,4
trip,2
week,4
slow service,3
summer,3
money,4
rest,3
thinking,2
4,3
bread,3
read,8
early,2
world,6
disappointed,4
served,8
slice,5
business,3
throw,2
side,3
stand,2
ladies,3
area,3
aren,4
lot,9
jk rowling wrote harry potter,2
buying,2
rowling,8
toilet,2
taste,3
tasty,8
stumbled,2
5,2
poor,2
laptops,2
wifi,5
platter,2
lack,2
follow,2
sitting,5
fan,3
decide,3
harry,2
small,3
tea,18
potterhead,2
full,3
hours,6
inspired,2
experience,9
amount,2
options,3
charge,2
door,4
glad,2
harry potter fan,3
town,4
hour,3
history,2
beautiful,2
sense,4
simple,2
coming,2
fi,2
crowded,6
coffee drinks,2
trade,2
attitude,2
paper,3
late,2
wouldn,5
