name,count
limited,3
prices,5
6pm,2
worth,4
200 whiskies,2
clientele,2
venue,6
haggis,5
tired,2
weren,3
told,5
met,2
fantastic,9
call,4
recommend,13
relax,2
haha,2
glass,4
warm,7
excellent,6
bartender,5
give,4
end,2
drink menu,3
provide,2
amazing,13
disappoint,3
wrong,2
excellent food,2
things,2
order,5
wine,5
écor,2
hidden,2
advocates close,2
reasonable,4
americans,2
side,4
whip,2
wanted,5
ate,4
ish,2
enjoy,3
industrial,3
delicious,14
wasn,6
service,26
top,6
needed,3
small selection,2
seated,4
modern,2
mind,5
mine,2
recommended,4
doors,2
regular,3
plenty,2
don,5
place,54
scotch,2
great drinks,2
enjoyed,7
busy,8
menu,14
plate,3
stop,4
appetizer,2
bar,30
die,3
bad,2
lots,4
received,2
asked,9
olive oil,2
quickly,2
beer,7
expected,3
lovely,7
life,2
haggis bonbons,3
chill,2
downstairs booths,2
corn fed chicken,2
wine selection,2
shame,2
ox cheek,2
friendly atmosphere,2
bottles,3
make,12
great location,4
hopping,2
left,6
unique,6
beef burger,2
easy,2
5 stars,4
gave,2
steps,5
night,7
crowd,2
people,7
bottom,3
energy,2
dinner,17
afternoon,2
slightly,3
stuck,2
happy,6
cocktail bar,2
head,3
offer,3
flavour,2
type,3
inside,7
whiskey,7
cockburn street,2
fashioned,3
whiskey list,2
check,3
felt,8
steak sandwich,2
time,25
focus,3
manager,3
long time,2
finally,2
bar area,2
choice,3
bustle,2
minute,2
cool,7
impressive,3
quick,2
eating,5
drinks,30
suspect,3
shared,2
filled,2
water,2
address,2
change,2
tuesday night,2
hospitality,2
weird,2
entrees,2
beautiful,5
love,20
working,2
visit,5
live,2
wood,3
drinkable,2
beers,7
great place,9
soul,2
great atmosphere,3
heart,2
awesome,4
sample,2
heard,6
dropped,2
1,4
sunday,2
edinburgh,25
cocktail,2
spot,13
date,2
guys,3
man,2
remember,4
st,2
ended,2
main,2
good place,3
tucked,6
food menu,4
lunch,3
huge selection,2
space,4
stumble,2
advice,2
advance,3
couldn,4
waiter,3
honest,4
turn,4
cheese,2
long,3
open,3
city,10
bite,2
2,3
friend,3
wandering,2
pre,3
tasted,2
turned,4
alley,3
haggis bon bons,3
breakfast,2
sat,4
interior,3
super tasty,2
price,3
paid,2
visitors,2
pages,2
average,2
cooked perfectly,4
professional,3
walking,4
show,3
cheap,2
corner,2
bon vivant,6
goat cheese,2
husband,3
whiskies,7
bit pricey,2
seat,2
cocktails,22
review,5
diners,2
attentive,7
great service,2
middle,2
evening,4
bowl,2
trip,2
stepped,2
devils advocate,7
bottle,3
charged,2
rest,2
flavor,2
thinking,2
extensive,4
read,3
dark,5
fantastic service,2
world,5
server,3
good stuff,2
served,7
divine,2
stone,3
based,3
meal,5
stand,2
area,3
aren,4
start,4
stars,3
great experience,2
romantic,2
reasonable prices,2
ll find,2
taste,3
describe,2
direction,2
tasty,5
5,4
requested,2
nice ambiance,2
included,2
building,4
booked,2
cool bar,3
wednesday night,3
smile,2
exposed brick,3
decide,2
fab,2
list,3
small,3
great cocktails,2
streets,2
burger,7
opted,2
full,5
experience,5
amount,3
pick,2
options,3
chunky,2
environment,3
gorgeous,2
drink selection,2
glad,2
town,12
keeping,2
states,2
isn,5
lighting,2
coming,2
short,2
attitude,2
hell,2
late,2
sauce,2
wouldn,2
good,22
return,5
food,41
presented,2
stopped,3
found,7
upstairs,3
house,2
expect,3
thing,3
alcohol,2
candlelight,3
research,2
pub,3
reason,5
put,4
feel,6
guess,3
wonderful,3
thistle street,2
hotel,4
part,5
stairs,4
kind,4
outstanding,3
lie,2
scotland,4
added,2
traditional,2
clean,2
boozy,2
beaten path,2
fine,4
find,10
starters,3
pretty,2
knowledgeable,3
8,2
feels,4
restaurants,2
bars,3
close,20
spirits,3
won,4
recently,2
attention,2
feeling,4
restaurant,8
load,2
point,7
simple,2
expensive,2
devil,29
create,2
due,2
brick,3
wait,5
chatted,3
bar staff,5
straight,2
bill,5
fun,2
decor,6
advise,2
suggestion,2
levels,3
arrived,2
early,3
questions,3
tables,7
disappointed,5
location,3
couple,4
advocate,30
finding,3
bit,10
continue,2
absolutely,2
highly recommend,3
back,33
experienced,2
curious,2
wine list,4
good selection,3
step,4
seating,2
impressed,8
fast,2
forward,4
relaxed,4
fries,2
uk,2
called,2
ordered,13
nice,12
elements,2
reservation,8
meals,6
walked,6
cooked,3
fresh,3
good food,3
desserts,2
friday night,2
ambience,7
friendly,16
dessert,5
drinking,2
royal mile,16
black pudding,3
giving,2
waiting,4
cozy,5
making,6
great,18
didn,15
leaving,2
