name,count
enjoyable,2
dish,3
absolutely fantastic,2
friendly,4
sitting,2
dessert,5
balmoral hotel,5
canapes,2
chef,3
elegant,2
modern twist,2
cheeses,2
opted,2
wonderful meal,2
full,2
change,2
cheese trolley,2
ambience,2
glad,2
worth,2
making,2
compare,2
end,4
edinburgh,8
extremely knowledgeable,2
birthday,2
canapé,2
types,2
breads,2
wine,5
style,3
ll,2
choose,2
main,2
visiting,2
good,3
michelin starred restaurant,2
food,7
bread,5
didn,6
courses,2
7,2
unidentifiable,2
ate,2
couldn,4
times,3
thing,3
place,6
cheese,3
number,7
delicious,3
wasn,2
service,8
ordered,2
option,2
special occasion,2
hotel,2
overwhelming,2
loved,3
happy,3
treated,3
pre,2
mind,2
comfortable,3
bread trolley,3
culinary experience,2
price,2
salmon,2
eaten,3
tasting menu,5
give,3
professional,2
atmosphere,2
selection,2
cheap,3
enjoyed,2
staff,6
menu,4
wine pairings,2
perfection,2
bad,2
decided,2
restaurant,5
interesting,2
wall,2
sweet,2
table,3
bizarre,2
sommelier,3
expected,2
life,2
welcoming,2
pretentious,2
ve,4
decor,2
pay,3
plates,2
finish,2
delicate,2
impeccable,2
thought,2
rest,2
world,4
50,3
overrated,2
night,3
served,3
absolutely,3
divine,2
eating,3
fellow diners,2
meal,9
dinner,5
foie gras,2
relaxed,2
don,3
made,2
check,2
dressed,2
nice,5
chance,2
friends,2
meals,3
booked,2
cooked,3
