name,count
choice,2
main courses,2
steaks,2
burger,2
great,3
peppercorn sauce,2
visit,2
steak sandwich,2
room,4
end,3
edinburgh,2
sauce,2
good,2
food,3
day,2
glasses,2
times,2
delicious,3
wasn,3
service,5
top,2
hotel,2
cleared,2
looked,2
wine,2
menu,2
starters,2
bar,3
steak,2
restaurant,3
table,3
£20,2
ve,3
middle,2
make,2
booths,2
tables,2
possibly,2
bit,2
night,2
deal,2
back,2
dinner,2
twenty princes street,3
don,2
tasty,2
floor,2
nice,3
glass,2
time,3
