name,count
good food,4
cheerful,2
dish,3
laksa,2
starter,5
friendly,4
mains,3
nasi lemak,2
slow,2
wife,2
drinks,2
opted,2
paintings,2
kampung ali,5
full,2
perfect blend,2
dry,2
great,4
amount,4
spices,2
love,3
duck,2
malaysian restaurant,2
visit,6
creamy,2
sort,2
sharing,2
excellent,3
£6,3
£7,2
room,2
worth,2
soup,4
share,4
hot,3
edinburgh,6
chicken wings,3
authentic,2
80,2
prawns,2
order,3
wine,4
perfect,3
group,2
ll,2
main,3
good,9
food,13
didn,5
found,2
meal,2
delicious,4
yeah,3
pleasant,2
service,6
times,3
thing,4
place,15
beef rendang,2
quality,2
clerk street,2
friend,4
ceiling,2
lot,4
king prawns,2
happy,2
quirky atmosphere,2
spicy,3
dishes,5
scotland,2
moist,2
added,2
mouth,4
lots,3
don,3
visiting,2
cheap,4
chicken,2
fine,2
find,4
staff,2
satay,2
menu,6
familiar,2
portions,2
malaysian,5
coconut rice,4
dipping sauce,2
restaurants,2
noodles,2
pictures,3
diners,2
big group,3
restaurant,7
quiet,3
sweet,2
table,3
beer,3
expected,2
lovely,3
priced,4
roti canai,2
personally,2
attentive,2
£23,2
bill,2
roti cenai,3
ve,6
broth,2
ready,2
partner,3
things,2
make,2
day,2
money,2
world,2
bit,3
50,4
roti,6
night,2
served,3
people,2
highly recommend,2
greeting,2
malaysia,5
dinner,2
stars,2
head,2
buttery,2
back,9
eat,2
spice,2
flavour,2
curry sauce,2
ordered,2
doesn,2
tasty,5
delicious food,2
branch,4
nice,4
cooked,2
time,2
