name,count
dish,3
ambience,2
enjoying,2
friendly,6
presented,2
small,2
main courses,2
pork,2
chef,2
beautifully presented,3
stars,2
scallops,3
full,2
wait,4
great,4
experience,3
love,5
apple,2
family,3
kind,2
visit,2
recommend,2
start,5
door,3
rich,3
pasta,2
3 courses,2
excellent,4
95,2
starter,4
high,2
presentation,2
worth,4
give,3
worse,2
end,3
amazing,4
edinburgh,9
wrong,2
date,2
setting,3
light,2
waitress,2
pay,2
red wine,2
wine,6
move,2
home made,2
coffee,2
good,13
food,19
lunch,5
front,2
servers,2
meat,5
risotto,2
didn,2
courses,4
lunch menu,4
found,2
poached lobster,2
meal,6
hard,2
owner,2
expect,4
girl,2
imagine,2
wanted,2
waiter,2
days,2
times,5
place,6
top,2
feel,2
delicious,4
wasn,3
quality,7
service,7
spinach,3
night,4
ordered,4
part,4
loved,3
level,2
feeling,3
half,2
pork belly,3
dishes,2
dining,4
recommended,4
price,3
mouth,2
palate,2
don,3
fact,3
victoria street,4
atmosphere,5
mains,2
fennel,2
find,3
staff,9
busy,2
quaint,2
menu,7
pretty,3
local,3
plate,7
beat,2
celeriac puree,2
restaurants,2
set,2
flavours,2
result,2
great food,2
superb,2
crisp,2
3,2
won,2
mum,2
sorts,2
high quality,3
kitchen,2
restaurant,12
simply,2
table,4
expensive,3
due,3
seasoned,2
lovely,3
mine,2
ensuring,2
main,5
£25,2
bill,2
shops,2
ve,3
wouldn,2
grain store,9
evening,2
decor,2
lobster bisque,2
things,3
make,2
impeccable,2
makes,3
floor,2
extremely good,2
bottle,3
firstly,2
left,3
knowledgeable,2
point,3
day,3
venison,5
4,2
5 stars,2
kick,2
interior,2
bit,3
disappointed,3
50,4
served,3
people,4
highly recommend,4
lobster,3
oysters,2
ve eaten,2
intimate,3
soft,2
dinner,5
duck confit,3
eaten,3
foie gras,2
lastly,2
deal,2
tasting,2
gazpacho,3
happy,3
offer,2
back,7
made,2
flavour,2
romantic,4
highlight,2
money,6
2 courses,2
taste,4
deer,2
romantic dinner,2
tasty,3
check,2
£15,4
£12,4
tagliatelle,2
nice,6
felt,4
reservation,2
priced,2
meals,5
building,3
wife,2
lot,4
time,7
fresh,2
