name,count
flat white,2
friendly,3
town,2
wished,2
sitting,2
hot chocolates,2
enjoy,3
sign,2
odd,2
situated,2
cosy,2
drinks,2
espresso,2
find,2
told,2
full,3
wait,2
love,3
great cup,2
sugar,2
visit,3
today,4
popped,2
rich,3
hour,3
give,2
times,5
means,2
edinburgh,7
stop,2
latte,3
black pepper,2
sit,4
order,2
perfection,2
perfect,3
artisan,2
coffee,15
good,5
didn,2
roast,2
found,2
idea,2
wanted,3
couldn,2
place,6
isn,5
mooch spot,2
sunday evening,2
feel,2
wasn,3
open,2
temperature,2
comfy,2
needed,3
light,2
feeling,2
don,5
barista,2
blend,2
fact,2
shop,3
bring,3
inconveniences,2
enjoyed,2
staff,4
spite,2
black,2
bean,2
seat,3
decided,2
coffee shops,2
cakes,2
pop,2
tasted,2
damn,2
lovely,3
cash,2
ve,5
drink,6
asked,2
thought,2
firstly,2
seats,2
cup,2
rose,2
artisan roast,8
day,2
location,2
read,2
bit,4
original store,2
back,5
nice coffee,2
home,2
passion,2
beans,2
long,2
offer,2
relaxed,2
longer,2
flavour,4
places,2
taste,2
branch,2
coffees,2
nice,2
felt,2
wifi,3
time,2
fresh,2
