name,count
chain,3
albondigas,2
dish,5
3 tapas,4
worth,3
patatas gratinadas,2
dessert,9
huge inside,2
salad,2
leave,3
small,5
loads,3
pork,2
feeling,2
picked,2
good service,3
black pudding,10
opted,2
calamari,2
sangria,3
scallops,5
told,2
full,4
mussels,2
water,2
great,5
goats cheese,3
pick,4
opinion,3
genuinely,2
fantastic,3
family,2
visit,5
recommend,8
helps,2
sharing,2
evening,2
glass,2
95,2
tapas dishes,3
glad,3
town,4
friendly,17
waiter,4
prompt,2
give,4
honey,3
spanish restaurant,2
end,2
thing,2
place,17
edinburgh,8
suppose,2
wrong,4
stars,2
remember,2
tapas,18
prawns,4
favourites,3
order,7
talk,2
wine,5
replied,2
years,2
group,3
ll,2
amazing,4
pork cheeks,4
good,12
return,5
food,24
lunch,2
visiting edinburgh,2
bread,2
meat,3
potatoes,2
didn,9
meal,9
downside,2
fish,2
wasn,3
expect,2
special,2
la tasca,2
grease,2
pleasant,2
imagine,2
put,2
wanted,3
couldn,2
honest,3
yum,2
bite,2
cheese,3
feel,5
feet,2
delicious,5
spanish,4
quality,6
apple chutney,2
service,13
show,2
served,2
happy man,2
friend,3
excellent,3
option,2
haven,2
loved,4
bother,3
george street location,2
loves,2
tasted,4
mind,2
spicy,2
set menu,2
dishes,11
person,5
efficient,4
scotland,2
high,2
jugs,2
centre,2
price,4
overcooked,2
salmon,2
plenty,2
don,6
hungry,3
proceedings,2
left,2
4 tapas,2
atmosphere,5
selection,2
baby squid,2
patatas bravas,3
chicken,2
fine,2
enjoyed,4
staff,14
busy,2
menu,10
money,2
satisfied,2
joint,2
made,4
batter,2
flavour,2
chutney,3
paella,4
restaurants,4
café andaluz,5
flavours,2
decided,5
packed,3
walking,2
lots,4
tapas menu,2
recently,3
table quickly,2
visited,2
work christmas night,2
restaurant,7
4 stars,3
chorizo,4
good meal,2
onion,2
lanterns,2
table,5
olives,2
tiny,3
quickly,3
lovely,4
website,2
lived,2
photos,2
attentive,2
spain,5
weren,4
ve,7
wouldn,2
squid,2
defo worth,2
decor,4
make,5
fill,2
couple,2
day,2
week,2
levels,2
makes,2
lady,2
£12,3
rest,2
book,3
4,2
excited,2
gave,2
starving,2
big,3
dark,2
bit,8
disappointed,4
helpful,5
night,5
simply,2
creme brulee,2
soft,2
people,3
highly recommend,3
back,10
marmalade,3
passion,2
cafe andaluz,11
eating,2
reasonable,2
favorite,2
dinner,4
mouth,5
ladies,2
stop,2
friends,2
lot,6
offer,2
eat,4
portions,4
paprika,3
problem,2
ordered,5
love tapas,4
taste,5
doesn,2
tasty,6
ingredients,2
divine,2
lemon,2
good thing,2
variety,2
til,2
setting,2
nice,10
felt,4
chance,2
reservation,3
walked,2
cooked,2
fact,3
time,14
fresh,3
