name,count
small,2
burger,6
opted,3
shared,3
full,2
wait,3
dry,3
great,4
experience,2
queue,2
love,3
sweet potato fries,2
visit,4
recommend,2
door,4
started,2
word,2
give,2
huge,3
isn,2
edinburgh,4
pay,2
order,5
satisfied,2
ll,5
food,3
plates,2
meat,2
side,4
glasgow branch,2
opened,3
space,2
lothian,2
times,2
delicious,5
service,7
friend,2
boyfriend,3
juicy,3
cheese curds,3
gravy,3
plenty,2
don,7
place,8
fine,4
staff,2
busy,3
menu,5
cheeseburger,2
poutine,4
chips,4
glasgow,2
bad,2
seat,2
flavours,2
decided,2
close,2
visited,2
received,2
amazing,2
lothian wolf,3
table,3
beef,4
beer,2
sunshine,2
onion rings,2
ve,3
good,4
make,2
arrived,2
burgers,11
day,2
excited,2
bit,2
disappointed,2
soft,2
didn,2
people,2
bread meats bread,4
liking,2
buffalo fries,2
lothian road,3
impressed,2
lot,2
medium,2
back,5
bun,5
eat,3
fries,2
ordered,3
taste,2
tasty,2
pickles,2
smell,2
nice,3
friends,2
sides,3
time,3
