name,count
leith,4
good food,2
pub grub,2
friendly,4
fan,2
cool,2
small,2
enjoy,2
burger,2
drinks,7
opted,2
movies,3
enjoyed,2
told,2
boda,2
great,2
sofas,3
love,4
thought,3
&,2
give,2
visit,3
music,4
armchairs,2
beers,2
excellent,2
£3,2
town,3
worth,3
huge,2
making,2
comfy sofas,3
awesome,3
7pm,2
end,2
sit,3
edinburgh,4
pub quiz,5
wine,3
bunch,2
ll,4
good,7
food,9
big bar,2
front,2
day,2
bigger,3
didn,5
brass monkey,9
glasses,2
salsa,2
friendly staff,4
space,4
leith walk,9
pint,4
fun,3
pub,7
struggle,2
wall,2
times,5
place,11
isn,2
feel,8
fast,2
wasn,2
carry,2
top,5
comfy,2
drummond street,2
boyfriend,2
kind,5
offer,2
price,2
plenty,3
picture,2
don,6
traditional,2
lots,3
review,2
fact,5
atmosphere,4
find,5
staff,4
menu,2
local,5
bar,10
cocktails,2
recently,2
yelpers,2
closer,2
movie,3
wow,3
living room,2
tables,3
brass monkey leith,4
handful,2
great pub,2
point,3
walk,2
table,4
quiz,2
life,2
ain,2
ve,10
middle,4
dr paul,2
things,2
make,3
party,2
showing,2
week,3
drink,4
pubs,3
tradition,2
burgers,2
nachos,2
rest,2
bit,3
toilets,3
character,2
subtitles,2
read,2
big,2
couple,4
possibly,2
original brass monkey,3
monday night,3
chairs,3
night,7
served,2
seating,3
people,4
back,5
home,2
meal,2
lovely,2
lot,6
head,2
relaxed,2
eat,4
made,5
entering,2
doesn,2
tasty,2
generally,2
book,2
smell,2
nice,3
monday,3
friends,5
haven,2
students,2
time,7
original,4
