name,count
atmosphere,2
desserts,2
rose street,3
worth,2
venue,2
small,2
enjoy,2
steaks,2
burger,3
mussels,3
love,3
eye,2
3 courses,2
salad,2
edinburgh,3
lot,2
man,2
wine,2
whilst,3
hidden,2
good,5
tucked,3
food,3
complain,2
york steam packet,2
courses,2
hard,2
year,2
place,6
nysp,4
set menu,2
cheesecake,2
pecan pie,3
lots,2
bookings,2
find,2
menu,4
pretty,3
chips,2
steak,3
restaurant,3
chilli mayo,2
dime bar cake,3
potato skins,2
lovely,2
ve,3
wouldn,2
make,3
cream,2
finish,2
thought,2
burgers,4
bit,2
night,4
back,3
offer,2
nintendo 64,2
made,4
places,2
byob,5
cake,2
tasty,2
walked,2
£15,3
nice,2
cooked,2
