name,count
caffeine drip,8
yummy,2
friendly,5
vegan,3
choice,2
cool,2
loads,2
bacon,2
drinks,4
opted,3
white mocha,2
make,2
wait,2
great,2
options,3
fantastic,2
love,3
visit,4
recommend,3
excellent,2
salad,2
worth,2
soup,4
huge,3
sit,3
amazing,3
place,9
edinburgh,6
sandwich,2
spot,3
wrong,2
counter,2
lined,2
order,4
vegan hot chocolate,3
including,4
avocado,2
choose,2
covered,2
coffee,12
good,12
food,9
lunch,3
day,2
didn,3
panini,3
found,2
delicious,6
expect,2
hot chocolates,2
kip,2
free,2
put,2
wanted,2
wasn,3
service,3
needed,2
loved,2
mine,2
sells,2
sandwiches,2
interior,2
looked amazing,2
don,5
lots,3
cheap,2
tempted,3
find,2
staff,6
busy,4
menu,3
haven,2
walls,2
stop,3
hot chocolate,3
morning,3
terms,2
smoothies,2
review,2
reading,2
recently,2
venture,2
cakes,4
brunch,3
attentive,2
ve,5
breakfast,3
decor,3
difficult,2
finish,3
drink,4
arrived,4
biltong,2
photo,2
note,2
coming back,3
customers,2
bit,3
served,2
people,2
back,6
fillings,2
sunday morning,2
pastries,2
lot,2
offer,2
downstairs,4
eat,5
made,3
places,2
ordered,4
tasty,3
cafe,3
lemon,2
coffees,3
friends,2
yelp,2
wifi,2
time,4
