name,count
desserts,3
dish,3
starter,2
worth,6
started,4
dessert,3
razor clams,3
heaven,2
level,2
die,2
list,3
leave,2
casual,2
beautifully presented,2
stunning,2
shared,4
told,2
full,2
chose,4
mussels,7
based,2
potted crab,2
great,7
perfectly cooked,3
experience,3
wine,3
window seat,2
brought,2
&,2
visit,6
recommend,3
impress,2
3 courses,2
excellent,4
langoustines,2
friendly,4
reviews,2
give,2
awesome,3
wow,3
sit,2
sitting,2
amazing,6
edinburgh,12
advice,3
spot,4
wrong,3
produce,2
short,2
light,3
order,2
top,4
beautifully cooked,2
perfect,4
chips,3
ll,6
weeks,2
main,6
sauce,2
wouldn,3
good,10
return,2
food,18
lunch,2
day,3
bread,5
didn,6
asparagus,3
meal,4
week,4
clams,2
fish,6
special,2
heavenly,2
sausages,2
george iv bridge,3
wanted,6
miss,2
waiter,2
times,3
thing,2
birthday,4
place,7
great find,2
feel,3
delicious,9
wasn,4
quality,3
service,14
2,2
bits,2
seated,3
haddock,2
treated,2
pre,2
outstanding,2
mind,2
dishes,4
efficient,2
generous portion,2
price,3
classy,2
don,11
oysters,10
seafood,11
occasion,3
selection,3
mains,4
bring,2
serving,2
corner,3
enjoyed,5
staff,8
menu,12
winner,2
texture,3
haven,3
starters,6
oyster bar,2
money,2
plate,4
fabulous,2
scallops,8
bar,3
ended,2
bad,2
restaurants,2
sea,2
flavor,2
great food,2
lots,2
finally,2
superb,2
kitchen,2
restaurant,14
chorizo,4
torn,2
point,2
sweet,3
table,5
birthday dinner,2
parsley,2
fish curry,2
lovely,4
life,2
modern,2
relaxing,2
priced,3
pricey,2
straight,2
bill,3
ve,4
squid,2
side,3
worry,2
happy,2
pay,2
make,4
bit special,2
asked,2
bottle,2
things,2
lobsters,2
cockles,2
years,2
keen,2
ondine,14
book,3
parents,2
fantastic service,2
bit,3
crisp,4
night,5
stylish,2
nice,4
highly recommend,3
back,8
lobster,6
stuffy,2
great view,2
expensive,2
realise,2
served,5
tempura squid,5
dinner,8
long,3
class,3
start,8
stars,2
treat,2
crab,3
ambiance,4
sea bass,2
eat,6
made,2
portions,3
places,4
ordered,3
taste,2
nice restaurant,2
doesn,2
presented,3
tasty,2
trip,2
dressed,2
5,2
friends,2
booked,2
potato,2
lemon sole,4
cooked,2
portion,2
time,4
fresh,3
