name,count
dish,2
dessert,3
orange sauce,2
pork,2
full,2
led,2
boy,2
experience,2
wanted,2
visit,2
recommend,2
started,2
glass,3
glad,2
pompadour,3
end,2
amazing,2
good,4
return,2
exquisite,2
expect,2
surprise,2
reason,2
couldn,2
honest,2
castle,2
feel,2
quality,2
service,5
dishes,2
haricot blanc,2
wine,4
review,2
mains,2
enjoyed,2
staff,3
menu,2
starters,2
wow,2
champagne,2
perfect,2
restaurant,5
table,2
food,4
finish,2
bottle,2
rest,2
galvin,2
night,2
pistachio biscotti,2
dining room,2
dinner,2
stand,2
rabbit ravioli,2
long,2
taste,2
tasty,3
booked,2
time,2
