name,count
gigs,2
friendly,3
cool,2
venue,3
enjoy,2
work,3
past,2
hippy,2
love,2
word,2
worth,2
reviews,2
times,3
forest,4
edinburgh,3
wrong,2
remember,2
volunteers,5
choose,2
coffee,3
evening,2
food,3
idea,2
special,2
vegan food,2
miss,2
put,2
couldn,2
place,7
kind,2
bother,2
don,5
clean,2
fact,2
workshops,2
cheap,3
bring,2
earth,2
find,3
staff,3
fair,2
decided,2
hippies,2
forest cafe,8
voluntary basis,2
suppose,2
volunteer run,2
cafe,6
things,2
hang,2
reviewed,2
alternative,3
bit,2
people,4
run,6
stage,3
artists,2
long,3
lot,3
relaxed,2
made,2
minutes,2
ordered,2
annoying,3
book,2
felt,2
time,4
