name,count
friendly,2
brown,2
voucher,2
enjoyed,2
china,2
dry,2
experience,2
amount,2
opinion,2
love,2
visit,4
reviews,2
give,4
lamb,4
amazing,2
chicken wings,2
birthday,3
group,2
wouldn,2
good,6
food,9
unlimited banquet,4
didn,3
space,2
fried rice,2
wanted,2
times,2
place,6
delicious,3
wasn,2
quality,2
sadly,2
service,5
morrison street,2
kind,2
loyalty club,2
tummy,2
tasted,2
efficient,2
don,4
occasion,2
fact,2
atmosphere,2
chicken,3
fine,2
staff,3
based,2
menu,2
chop chop,5
banquet,2
cumin,4
review,2
loyalty scheme,2
restaurant,2
asked,2
table,2
attentive,2
case,2
ve,4
dumplings,6
decor,2
make,2
garlic,2
person,3
aubergine,2
read,2
couple,3
unlimited,2
bit,2
night,2
nice,3
back,2
birthday voucher,2
christmas,2
meal,3
lot,2
happy,3
potato,2
problem,2
tasty,3
fill,2
