name,count
dance,4
huge courtyard,2
grassmarket,2
friendly,4
grassmarket area,2
venue,2
large,2
burger,3
drinks,9
find,3
full,4
fun,5
great,3
love,3
takes,2
give,2
music,7
sort,2
sharing,2
great place,2
room,2
end,2
sit,3
vibe,3
acts,2
place,19
edinburgh,3
loud music,2
watch,3
guys,2
crowded,2
rowdy,2
things,4
bartenders,2
move,2
group,3
age,2
spacious,2
good,3
food,2
day,3
easily,2
didn,3
year,2
special,3
magnet,2
shows,2
beer garden,2
chavs,2
friday,3
pub,5
reason,2
put,3
times,5
expecting,3
isn,4
feel,6
wasn,3
size,2
city,3
2,2
rugby matches,2
friend,3
free,2
happy,2
part,2
kind,2
loud,4
stag parties,2
apparently,2
nights,2
doors,2
plenty,4
don,6
crowd,2
clean,2
atmosphere,4
play,2
cheap,2
corner,2
enjoyed,2
staff,5
busy,2
weekends,2
hit,3
stop,2
bar,6
inside,2
bars,4
bit pricey,2
packed,2
hot spot,2
drawn,2
courtyard,2
point,2
venues,2
walk,2
table,5
expensive,2
beer,2
free shows,2
priced,3
leave,2
ve,5
played,2
pat,2
huge screen,2
make,6
cowgate,3
week,2
drink,9
pubs,2
student,2
sisters,13
pub crawls,2
dancing,3
deal,2
thought,4
burgers,3
spend,2
summer,3
enjoy,4
front,2
big,3
lads,2
bit,9
night,7
served,2
people,8
back,3
absolutely,3
step,2
sister,2
deserved,2
fringe,3
area,5
weekend,2
start,2
lot,3
hen,2
head,3
hear,2
city centre,2
places,3
moved,2
quiet drink,2
general,2
check,2
variety,2
nice,4
football,2
stag,2
included,2
friends,7
time,6
