name,count
leith,19
dish,2
managed,3
real fire,2
worth,4
mains,2
board games,2
choice,3
toss,2
literally,3
presented,2
things,2
large,2
haggis,2
small,7
loads,2
enjoy,4
pork,3
seasoning,2
fabulous,2
corner,2
macaroni cheese,2
cosy,3
drinks,7
opted,2
sun,2
pleased,2
small mug,3
mussels,3
pontoon,3
great atmosphere,2
mugs,7
round,2
makes,3
love,4
win,3
lamb stew,4
give,2
visit,4
call,2
sea trout,2
warm,5
beers,5
whisky,6
room,9
friendly,5
tap,4
wonderful,3
end,5
sit,4
dinner,3
amazing,2
pint,4
edinburgh,5
waters,2
man,3
chilled,2
curry,3
shore,5
enter,2
wine,2
find,2
years,2
spot perfectly,2
hell,2
perfect,2
group,2
ll,4
good,11
return,2
tucked,2
food,18
lunch,4
day,3
meat,2
didn,3
cider,2
chunky chips,2
found,4
lively,3
recommend,3
hard,2
expect,3
year,2
sheep dip,2
leave,2
space,2
mug menu,2
wines,2
pub,11
wanted,3
good range,2
thing,4
place,13
isn,3
waited,2
cheese,2
feel,2
waterfront,2
wasn,5
city,2
folk,2
service,3
needed,2
happily,2
part,2
haven,3
kind,3
visited,2
feeling,2
mind,2
sat,2
added,2
serve,3
don,9
enjoyed,3
staff,10
busy,5
based,2
perfect place,2
menu,2
starters,3
small mugs,2
local,2
roaring fire,2
stop,2
made,4
flavour,2
chips,13
bar,8
teuchters landing,7
including,2
whiskies,4
decided,3
hot toddy,3
spirits,2
lots,6
mug,7
won,5
great selection,5
hand,2
restaurant,9
asked,3
point,2
walk,3
crispy,2
atmosphere,2
beer,3
treat,2
expected,3
location,2
fire,4
offered,2
prices,3
welcoming,2
bill,2
cullen skink,3
ve,2
side,2
pay,2
make,4
bottle,2
trip,2
big,2
drink,4
hang,2
dishes,2
thought,3
person,2
highly recommended,2
summer,4
rest,2
tables,4
wee,2
crannies,2
plenty,2
couple,3
bit,6
disappointed,3
helpful,2
admittedly,2
haggis stovies,3
night,2
served,6
people,3
back,6
serves,2
table,3
price,2
wine list,2
stew,2
meal,3
afternoon,2
area,3
big screen tv,2
long,2
lot,2
forward,2
fish,5
happy,2
gorgeous,2
eat,4
waste,2
inside,2
customers,2
doesn,3
lovely,5
comfy seats,2
tasty,3
delicious food,2
check,3
water,5
teuchters,3
nice,2
felt,2
chance,3
friends,4
mood,2
annoyed,2
time,4
