name,count
money,2
dough,2
find,2
friendly,2
stop,2
disappointed,2
meat,2
toppings,2
chicken,4
cut,2
crust,2
reading,3
fresh ingredients,2
great fresh tasting chicken,2
fresh dough,2
great,2
ate,3
service,2
crispy finish,2
place,5
pepperoni,5
makes,4
fantastic,2
coins pizza,2
feel,3
consumption,2
delicious,3
pedro,3
coins,3
visit,2
vacation,2
fast,3
back,2
10,2
made,2
chicken pakora,2
reviews,2
decided,2
thin,2
ordered,2
amazing,2
pizza,11
owner pedro,3
edinburgh,4
staying,2
hand,2
pizzas,2
don,3
ease,2
order,2
time,2
fresh,2
