name,count
café renroc,2
friendly,4
small,2
sunny day,2
enjoyed,2
pancakes,2
great,4
montgomery street,2
love,2
ve,5
popped,2
town,2
work,3
give,3
sit,3
vibe,2
fi,2
perfect,2
coffee,3
good,4
food,9
salads,2
leith walk,2
shows,2
put,2
place,5
feel,2
owner,2
service,2
renroc,2
breakfast,3
sandwiches,2
eggs,2
don,2
atmosphere,3
corner,3
find,3
staff,3
lots,2
easter road,2
brunch,3
tables,2
day,2
simple,3
world,2
people,2
back,3
chance,2
range,2
lot,2
cafe renroc,2
downstairs,4
cafe,2
generally,2
nice,4
time,2
