name,count
concept,4
drinks pairing,3
dish,3
presentation,2
friendly,2
returning,2
dessert,3
month,3
list,6
enjoy,2
beautifully presented,3
full,3
wait,3
£45,2
great,3
involved,2
visit,2
recommend,3
type,2
glad,2
worth,4
dining experience,2
heard,2
amazing,4
edinburgh,5
coming,3
date,3
remember,2
sit,2
ll,2
window,2
good,2
return,3
food,10
didn,3
courses,3
meal,3
open,2
imagine,2
put,3
care,2
ate,3
thing,2
place,5
arrived,2
number,2
delicious,3
quality,2
service,8
loved,4
year ago,2
aizle,8
dishes,2
eaten,2
don,3
staff,3
menu,6
folks,2
opening night,2
plate,2
kind,2
art,2
cocktails,6
restaurant,6
invited,3
pre,3
lovely,2
welcoming,2
ve,3
evening,3
impeccable,3
dietary restrictions,3
seasonal,2
world,2
bit,3
disappointed,2
people,3
back,5
table,2
months,2
forward,2
inside,2
tasty,3
ingredients,10
friends,2
meals,3
time,5
fresh,5
