name,count
walking,2
good food,2
friendly,6
fan,2
fall,2
haggis,3
enjoy,2
bacon,2
burger,5
drinks,4
opted,2
fine,2
waiting,2
told,2
change,2
dry,3
coeliac,2
fantastic,3
love,3
give,2
visit,6
care,2
type,2
sort,2
popped,2
door,3
beers,4
excellent,6
£6,2
effort,2
huxley,16
town,2
great place,2
work,2
worth,4
soup,2
meet,2
enjoyed,4
heard,2
end,2
thing,5
vibe,2
amazing,3
edinburgh,5
sandwich,2
west end,3
cocktail,2
spot,2
castle,2
read,2
sit,2
order,4
wine,2
office,2
prosecco,3
interesting,3
ll,2
window,2
great service,2
coffee,2
good,10
food,18
previous incarnation,2
day,4
bread,2
didn,3
rutland,3
side,2
pretty good,2
rutland bar,4
wanted,3
recipes,2
times,2
keen,2
place,13
top,3
cheese,3
feel,4
bars,2
delicious,4
open,2
service,10
stuck,3
needed,2
hotel,4
part,3
boyfriend,3
kind,2
tasted,2
breakfast,4
beer selection,2
black pudding,3
bottle,2
paid,2
plenty,3
don,4
hot dog,2
average,2
fact,3
atmosphere,2
find,3
staff,10
toast,2
busy,2
menu,6
money,2
loved,3
bar,10
places,2
potato wedges,2
bad,2
piggy,2
husband,2
seat,2
cocktails,5
decided,5
patties,3
lots,2
review,3
quality,3
perfect,2
restaurant,2
patrons,2
comment,3
sweet,3
table,2
expensive,2
unusual,2
ve tasted,2
beer,6
seasoned,2
expected,2
lovely,7
priced,3
understand,2
prices,3
nice feel,2
unlike,2
bill,2
ve,7
partner,2
decor,4
things,2
make,3
food menu,2
week,2
drink,5
deep fried avocado,2
great location,2
lunch,2
thought,4
burgers,5
hot dogs,3
note,2
location,3
world,4
bit,3
helpful,3
served,2
people,2
back,10
night,3
cocktail menu,3
eaten,2
impressed,2
lot,6
highly recommend,2
offer,3
recommend,2
bun,2
eat,4
made,3
full,2
fries,5
hanging bat,2
ordered,4
taste,3
hp sauce,2
doesn,3
tasty,3
check,2
compared,2
nice,5
star,2
draught,2
update,2
visits,2
time,6
fresh,3
