name,count
kanpai,4
£7,2
sashimi,6
worth,2
sitting,2
leave,2
small,3
enjoy,2
tea,2
dish,2
fine,2
find,2
waiting,2
shared,2
order,5
told,2
busy,3
wait,4
great,4
perfectly cooked,2
receive,3
bento box,5
love,2
visit,5
mixed sashimi,2
live,2
awesome,2
8,2
excellent,5
90,2
hurry,2
glad,2
town,3
8pm,2
hour,2
point,2
share,2
pieces,2
amazing,2
stand,2
edinburgh,8
stars,3
arrived,2
wine,3
miso,2
good,12
food,11
lunch,3
half,3
didn,4
found,2
meal,4
fish,4
15 minutes,2
couldn,3
terrible,2
times,2
thing,3
place,14
feel,2
delicious,4
wasn,3
quality,3
city,2
service,5
ordering,5
top,3
2,2
friend,3
chicken gyoza,2
seated,2
attention,2
seaweed salad,5
sat,2
dishes,3
salmon,4
don,3
looked,2
left,3
enjoyed,3
staff,5
slow,4
menu,5
starters,3
rice,2
20 minutes,2
10,3
fair,3
packed,2
3,4
bento boxes,3
affordable,2
terms,2
kitchen,2
restaurant,5
table,7
friendly,3
gyoza,3
lovely,4
good sign,2
prices,4
pack,2
ve,6
sushi,10
ready,2
decor,2
things,3
make,3
tuna,4
thought,2
bottle,2
money,2
lunch time,3
rest,4
coming back,2
gave,2
read,2
miso soup,5
bit,4
scallop,3
highly recommend,2
back,6
sushi restaurants,2
felt,2
eating,2
lothian road,2
dinner,4
rolls,3
start,4
lot,2
forward,2
sashimi bento,2
rivals kanpai,2
eat,4
made,2
byob,3
problem,2
ordered,6
taste,4
tasty,4
check,3
sushi place,2
highly recommended,2
5,2
nice,6
time,6
bentoya,8
included,2
booked,4
fresh,7
