name,count
dish,2
friendly,2
drinks,2
manage,2
harvey nichols,3
town,2
reviews,3
chic,2
made,3
edinburgh,6
floor,5
fife,2
terrace,2
main,2
good,3
views,2
food,9
lunch,4
realise,2
side,2
expect,2
won,2
bad,2
city,3
reason,2
waiter,2
view,2
top,2
feel,2
fancy,2
floor restaurant,3
service,6
wonderful,3
part,3
remember,2
loved,2
price,2
don,3
review,2
fact,2
atmosphere,2
find,2
menu,4
weekends,2
3,2
steak,2
cocktails,3
brasserie,3
mum,2
restaurant,6
expensive,2
attentive,2
ve,4
department store,2
average,3
mother,2
tables,2
preference,2
back,3
dinner,5
cocktail menu,3
places,2
called,2
taste,2
balcony,2
book,2
nice,3
chance,2
time,4
