name,count
charge,3
friendly,7
royal mile,3
haggis,5
quick,2
burger,3
perfect,3
enjoyed,3
doric,7
recommend,2
advance,2
started,2
glass,3
train,2
bartender,3
room,2
worth,3
soup,2
shepherds pie,2
give,3
attract,2
dinner,3
amazing,6
place,8
pint,4
edinburgh,10
wonderful,2
lot,2
order,2
cheese,2
cold,3
group,2
evening,2
food,12
disappoint,2
day,4
bread,2
meal,2
upstairs,7
fish,5
bistro,5
drink,3
pub,2
wanted,3
pubs,2
couldn,3
feel,2
delicious,6
wasn,2
service,8
station,4
hotel,3
kind,3
mind,2
haggis bon bons,2
seek,2
dishes,2
scotland,4
drinks,2
looked,2
haggis spring rolls,2
atmosphere,2
mains,2
find,4
staff,4
busy,2
menu,2
hit,2
feels,2
chips,6
bar,3
close,2
restaurant,3
quiet,2
neeps,2
shepards pie,2
oldest gastro pub,2
walk,2
table,3
beer,4
lovely,3
flavorful,2
great,7
welcoming,3
good,8
make,3
split,2
friends,4
salmon,2
tables,2
handy,2
bit,3
helpful,2
night,3
served,3
live music,2
people,3
back,8
side,2
tatties,2
start,2
made,4
places,2
uk,2
problem,2
average,2
ordered,3
taste,3
mash,2
good thing,2
£10,2
nice,4
reservation,3
time,5
fresh,3
