name,count
managed,2
lack,2
yummy,2
window seat,2
friendly,3
friendly staff,3
tea,3
street,3
drinks,2
cupcakes,2
find,2
great,3
coffee shop,3
perfect place,2
love,2
visit,2
today,3
town,4
salad,3
times,2
onions,2
huge,2
sit,5
fredericks coffee house,2
spot,2
frederick street,2
latte,3
wrong,2
crowded,2
princes street,4
whilst,3
ll,5
sunday,3
window,4
coffee,6
good,6
food,6
day,4
didn,2
filling,2
stopped,2
found,2
luck,2
sandwich,2
space,2
members,2
place,7
isn,2
feel,3
delicious,3
wasn,2
noticed,3
airy,3
friend,3
serve,2
stairs,6
loved,2
kind,2
visited,2
breakfast,2
plenty,2
don,3
windows,2
order,2
fact,2
walking,2
corner,2
enjoyed,2
staff,4
busy,3
menu,5
jam,2
cappuccino,3
watch,3
feels,2
smoked salmon,4
morning,2
grab,2
decided,2
mum,2
cakes,2
crisps,2
table,4
lovely,4
location,3
shopping,4
priced,2
catch,3
bill,2
ve,4
decor,2
make,3
week,2
butter,2
thought,3
bit,3
4,2
surprised,2
customers,2
world,2
served,2
people,3
back,6
nice coffee,3
fredericks,6
porridge,2
run,2
paninis,2
ladies,2
stumble,2
coffee house,3
eat,2
inside,3
cake,2
frederick,3
tasty,4
cafe,4
fill,3
floor,4
nice,8
friends,4
time,6
